"pb","quant_boot"
5,3.82
4,3.266
7,3.114
6,3.716
6,3.964
6,3.632
9,4.216
5,3.56
8,3.894
3,3.57
8,3.994
10,3.376
7,4.164
5,3.828
6,3.94
10,3.85419999999999
6,3.188
8,3.784
8,3.54
4,3.27859999999998
5,3.844
13,3.572
7,3.114
9,4.474
7,3.724
10,4.01
7,3.538
5,3.528
12,3.973
8,3.862
9,4.098
6,3.974
12,4.058
14,4.21
10,4.194
9,3.914
10,3.666
10,3.768
9,3.746
8,3.792
5,3.65
3,3.296
18,5.096
2,3.91
6,4.166
10,3.732
5,3.682
3,2.87
9,4.058
8,3.87759999999999
7,3.712
4,4.116
8,3.776
10,3.506
14,4.062
6,3.66
6,3.70479999999997
6,3.152
13,4.57
7,3.72
5,3.542
9,4.446
8,3.706
4,3.972
14,3.58
11,4.446
5,4.182
5,3.12
10,4.022
4,3.708
11,4.354
7,3.53
6,3.598
9,4.28399999999998
6,4.386
16,4.42
6,3.976
7,3.91
10,4.09
6,3.09
8,3.468
14,4.84
4,3.294
7,4.51
3,3.762
9,3.608
8,4.4964
12,3.982
7,3.70659999999997
10,4.494
5,3.928
11,5.29
6,3.5
7,4.032
5,3.886
10,3.606
5,3.85
9,3.55
3,3.084
11,3.598
9,4.412
10,4.394
15,4.192
11,4.492
2,4.33
4,3.246
9,4.454
9,3.748
10,3.77
8,3.94059999999999
6,3.686
7,4.508
9,4.122
4,3
4,3.898
9,4.108
4,2.764
7,4.262
9,4.23539999999997
6,3.626
4,3.192
5,3.064
4,3.508
8,3.836
10,3.666
13,4.176
8,4.4874
7,3.90999999999999
9,3.748
7,3.846
6,3.094
3,3.69
3,3.142
6,3.046
11,3.688
11,3.65
6,3.196
8,4.48
6,3.524
7,4.278
6,3.708
2,2.782
9,3.686
8,4.144
8,4.288
2,3.272
4,3.314
2,3.072
8,3.764
5,3.802
9,4.956
8,4.14
2,3.12379999999996
8,3.904
8,4.794
3,3.29479999999998
10,4.318
4,3.228
9,3.802
8,4.108
8,3.71
5,3.63999999999996
7,3.93339999999999
4,3.164
7,4.28
5,4
4,4.002
3,3.176
11,4.456
9,3.91
11,3.678
7,3.644
8,3.814
6,4.124
4,3.214
8,4.164
6,3.608
7,3.716
5,3.574
4,3.662
11,4.11
6,3.96
15,4.97
13,4.026
4,3.978
2,3.726
6,4.014
8,3.8
6,3.252
11,4.332
2,3.044
2,3.606
4,3.4766
4,4.036
7,4.854
4,3.868
3,3.612
2,3.878
5,3.994
9,3.958
4,3.39
3,3.846
7,4.202
3,3.84
5,3.766
5,3.842
6,3.788
4,3.856
4,3.12
8,4.574
11,3.832
6,4.412
3,3.158
16,4.666
13,4.114
13,4.33
10,4.244
11,4.076
5,3.3
6,3.1
7,3.764
7,3.8
6,3.872
6,3.72
6,3.67
9,4.776
9,4.05
