"pb","quant_boot"
14,0.024
9,0.01
13,0.006
8,0.024
9,0.028
12,0.012
10,0.018
7,0.024
11,0.026
8,0.018
10,0.02
8,0.016
7,0.004
14,0.02
2,0.02
6,0.01
2,0.018
3,0.018
3,0.018
5,0.024
3,0.01
12,0.05
6,0.008
9,0.036
12,0.018
4,0.024
4,0.012
7,0.012
9,0.032
8,0.032
6,0.01
9,0.022
10,0.016
16,0.008
9,0.02
11,0.028
4,0.028
7,0.012
3,0.024
3,0.012
6,0.02
9,0.02
8,0.028
10,0.036
6,0.02
7,0.034
12,0.014
6,0.03
8,0.022
3,0.01
8,0.018
7,0.026
11,0.038
8,0.034
12,0.022
9,0.02
9,0.034
5,0.026
7,0.022
5,0.024
8,0.028
10,0.04
11,0.028
11,0.014
8,0.026
6,0.034
7,0.018
6,0.016
5,0.014
9,0.014
18,0.026
9,0.042
3,0.024
13,0.024
11,0.032
7,0.02
8,0.024
6,0.02
7,0.012
5,0.01
7,0.016
7,0.026
9,0.03
10,0.016
8,0.012
5,0.006
4,0.028
6,0.022
6,0.048
8,0.02
11,0.016
9,0.02
13,0.014
6,0.018
1,0.02
3,0.03
11,0.036
3,0.022
9,0.032
8,0.024
7,0.026
13,0.022
5,0.016
8,0.026
8,0.032
2,0.016
6,0.016
8,0.008
9,0.034
11,0.028
7,0.02
8,0.036
7,0.014
5,0.036
7,0.014
6,0.014
8,0.03
4,0.02
6,0.02
13,0.006
10,0.034
8,0.012
2,0.008
14,0.022
7,0.02
8,0.02
8,0.022
1,0.016
4,0.018
7,0.026
10,0.024
13,0.026
3,0.026
5,0.03
5,0.024
10,0.012
6,0.018
12,0.016
6,0.0949999999999591
7,0.01
10,0.05
3,0.028
9,0.024
8,0.04
7,0.014
6,0.026
8,0.032
3,0.028
4,0.028
8,0.014
9,0.032
3,0.016
10,0.022
8,0.018
6,0.018
12,0.016
7,0.03
6,0.012
5,0.012
4,0.026
7,0.02
6,0.012
6,0.016
5,0.006
4,0.038
7,0.02
7,0.036
6,0.02
8,0.03
5,0.04
10,0.036
4,0.012
10,0.014
6,0.014
5,0.018
9,0.034
10,0.016
4,0.044
10,0.018
7,0.004
9,0.03
6,0.024
10,0.012
9,0.012
6,0.04
10,0.012
7,0.016
12,0.01
6,0.016
12,0.944
8,0.028
7,0.02
5,0.014
5,0.02
9,0.012
10,0.018
14,0.022
9,0.024
7,0.004
8,0.024
6,0.026
6,0.024
3,0.046
6,0.038
9,0.038
8,0.018
10,0.01
6,0.02
7,0.022
6,0.024
7,0.022
7,0.018
8,0.016
11,0.036
9,0.03
4,0.014
9,0.022
4,0.024
11,0.026
10,0.016
10,0.032
13,0.014
7,0.016
8,0.01
10,0.022
