"pb","quant_boot"
1,2.086
1,2.1
1,2.55
2,1.552
0,2.582
2,2.162
1,2.07
1,2.016
2,2.584
3,2.656
1,2.688
4,2.556
3,2.864
2,2.776
2,2.306
1,2.852
1,2.176
2,2.63
2,2.514
2,2.696
1,2.254
1,2.314
2,2.602
0,2.024
2,2.326
0,2.214
1,2.28
2,2.278
2,2.116
3,2.654
2,2.838
4,2.022
0,2.01
1,2.046
1,2.386
1,2.16699999999997
1,2.056
1,2.094
2,2.54
1,2.172
0,2.658
0,2.848
4,2.698
5,2.58
0,2.612
0,2.054
0,2.012
1,2.738
0,2.762
2,2.806
0,2.11
1,2.078
3,2.108
1,2.244
3,2.744
3,2.786
2,2.796
2,2.698
2,2.76
1,2.296
2,2.106
1,2.524
3,2.052
3,2.724
3,2.712
1,2.728
2,2.598
1,2.088
2,2.20659999999997
2,2.714
0,2.02
0,2.112
2,2.838
2,2.792
1,2.778
0,2.314
1,2.12
1,2.064
2,2.182
0,2.046
2,2.634
3,2.21019999999997
1,2.1
0,2.278
1,2.14
0,2.346
3,2.018
1,2.05
1,2.216
1,2.138
1,2.018
3,2.012
1,2.594
2,2.568
2,2.818
4,2.514
1,2.096
0,2.946
0,2.278
1,2.108
2,2.538
1,2.236
1,2.064
2,2.086
3,2.67
2,2.646
1,2.012
0,2.096
2,2.724
3,2.106
2,2.086
0,2.2
0,2.236
0,2.212
3,2.214
0,2.04
1,2.646
3,2.552
2,2.25879999999998
1,2.086
2,2.194
0,2.22279999999997
3,2.822
2,2.042
2,2.53
0,1.398
1,2.156
2,2.518
2,2.33
0,2.208
3,2.722
3,2.306
1,2.148
2,2.098
1,2.08
1,2.174
1,2.602
3,2.718
2,2.688
2,2.676
0,2.26
1,2.072
1,2.24439999999997
4,2.064
3,2.506
1,2.734
4,2.26779999999998
3,2.848
0,2.174
0,2.262
1,2.654
1,2.19
1,2.604
3,2.572
2,2.998
2,2.144
2,2.014
2,2.014
1,2.804
0,2.10219999999996
1,2.784
0,2.736
1,2.056
3,2.578
2,2.65
2,2.13
1,2.186
2,2.586
1,2.116
1,2.032
0,2.026
1,2.136
2,2.086
3,2.692
0,2.052
0,2.206
3,2.76
1,2.292
2,2.63
1,2.618
1,2.882
2,2.782
1,2.012
1,2.04
4,2.13
3,2.72
1,2.662
2,2.08
1,2.946
0,2.07
3,2.66
2,2.648
3,2.504
2,2.738
4,2.066
1,2.818
3,2.59
4,2.542
3,2.58
1,2.036
3,2.206
2,2.84
5,2.656
2,2.052
2,2.616
3,2.802
2,2.638
2,2.048
4,2.622
3,1.62
2,2.882
1,2.026
3,2.644
0,2.13
2,2.906
0,2.26
1,2.744
2,2.22279999999997
2,2.754
1,2.058
4,2.51
1,2.666
0,2.65
0,2.028
4,2.694
1,2.102
1,2.064
2,2.652
1,2.758
2,2.044
1,2.076
2,2.606
2,2.006
1,2.524
2,2.2
1,2.688
0,2.054
3,2.632
2,2.544
2,2.174
2,2.002
2,2.18
4,2.668
1,2.81
3,2.148
3,2.804
1,2.65
1,2.208
1,2.556
2,2.676
0,2.242
2,2.66
1,2.094
1,2.786
2,2.816
0,2.77
0,2.74
4,2.014
3,2.748
2,2.7
2,2.6
2,2.08959999999996
1,2.882
0,2.064
3,2.144
2,2.746
4,2.18319999999997
1,2.862
3,2.512
2,2.884
2,2.668
2,2.18
2,2.546
1,2.436
2,2.072
1,2.9
1,2.124
2,2.106
2,2.052
2,2.172
3,2.026
0,2.224
2,2.572
1,2.02
1,2.184
1,2.13
2,2.558
0,2.092
2,2.682
2,2.682
1,2.146
2,2.09
1,2.838
2,2.066
1,2.30559999999998
1,2.132
1,2.32
4,2.704
2,2.08
0,2.016
1,3.252
2,2.108
4,2.762
3,2.1
1,2.922
3,2.644
2,2.688
1,2.056
3,2.646
2,2.846
0,2.762
0,2.15619999999997
2,2.794
1,2.21
2,2.736
2,2.134
3,2.184
1,2.772
2,2.612
2,2.18859999999997
2,2.866
0,2.008
3,2.506
1,2.088
2,2.788
2,2.61
2,1.536
0,2.76
2,2.012
3,2.05
1,2.826
1,2.092
3,2.764
1,2.8
2,2.606
2,2.006
1,2.688
0,2.12
0,2.296
1,2.142
1,2.21
1,2.746
0,2.506
1,2.836
1,2.206
2,2.816
0,2.082
1,2.102
4,2.07879999999996
2,2.646
3,2.084
2,2.024
2,2.186
1,2.042
2,2.056
4,2.72
2,2.906
4,2.578
3,2.154
2,2.292
1,2.13099999999996
1,2.672
1,2.558
0,2.002
0,2.864
1,2.222
1,2.522
0,2.582
3,2.504
2,2.014
2,2.26419999999998
2,2.75
2,2.014
3,2.506
2,2.17059999999997
2,2.052
1,2.778
1,2.76
0,2.412
1,2.13819999999996
0,2.008
2,2.13459999999996
4,2.638
2,2.572
2,2.694
3,2.38299999999999
0,1.554
4,2.69
1,2.796
2,2.732
2,2.15
2,2.004
0,2.114
0,0.692
2,2.804
0,2.74
3,2.12
1,2.384
3,2.04
0,2.148
2,2.08
2,2.18
1,2.28219999999998
2,2.252
1,2.896
1,2.07
2,2.174
2,2.752
2,2.746
2,2.046
2,2.102
1,2.074
1,2.062
1,2.68
1,2.202
1,2.194
2,2.188
2,2.558
0,1.534
4,2.566
3,2.628
1,2.696
4,2.728
1,2.24079999999997
1,2.604
1,2.168
1,2.726
0,2.466
3,2.782
0,2.14
1,2.138
2,2.54
1,2.1
1,2.628
1,2.27
2,2.64
1,2.734
3,2.682
0,2.25
4,2.864
1,2.66
1,2.924
1,2.772
4,2.136
2,2.618
2,2.834
1,2.89
1,2.066
2,2.038
3,2.588
1,2.678
2,2.376
2,2.81
3,2.668
3,2.2
3,2.018
1,2.692
3,2.666
2,2.144
1,2.642
0,2.772
0,2.078
0,2.796
1,2.724
1,1.542
0,2.766
2,2.654
1,2.03
0,1.718
0,2.332
1,2.014
2,2.762
1,2.588
2,2.736
4,2.648
1,2.248
3,2.622
0,2.406
0,2.004
0,2.162
0,2.806
1,2.736
0,2.332
1,2.118
1,2.092
2,2.136
1,3.006
5,2.508
0,2
1,2.038
0,2.718
2,2.212
3,2.712
2,2.774
2,2.782
0,2.556
4,2.704
1,2.142
0,2.156
1,2.842
1,2.792
2,2.084
0,2.784
2,2.878
1,2.096
1,2.112
3,2.016
2,2.56
1,2.896
2,2.52
3,2.69
2,2.818
1,2.786
1,2.532
3,2.758
0,2.74
2,2.028
2,2.32179999999998
1,2.744
2,2.64
2,2.044
3,2.248
1,2.034
1,2.202
2,2.884
2,2.1
1,2.088
4,2.684
2,2.632
1,2.204
0,2.004
0,2.102
1,2.068
2,2.77
1,2.732
3,2.594
2,2.164
3,2.776
1,2.062
3,2.69
1,2.082
0,2.326
3,2.046
2,2.66
1,2.116
1,2.144
0,2.33
2,2.758
0,1.504
1,2.046
3,2.532
1,2.066
1,2.222
0,2.032
3,2.716
1,2.568
3,2.82
1,2.162
2,2.616
1,2.03
0,2.882
1,2.082
1,2.23
2,2.678
3,2.066
2,2.524
1,2.772
0,2.168
4,2.05799999999995
0,2.022
2,2.6
2,2.044
1,2.792
2,2.546
1,2.048
2,2.064
2,2.608
1,2.25519999999998
0,2.068
2,2.27319999999998
0,2.67
2,2.542
3,2.688
3,2.512
1,2.802
1,2.884
3,2.874
1,2.178
5,2.512
1,2.616
0,2.234
2,2.726
2,2.646
1,2.814
3,2.896
4,2.598
1,2.872
0,2.856
4,2.816
1,2.534
2,2.652
0,2.352
2,2.734
0,2.24979999999997
0,2.124
1,2.82
2,2.676
0,2.064
3,2.586
1,2.126
1,2.77
2,2.34519999999998
1,2.8
0,2.102
1,2.096
0,2.94
0,2.334
1,2.126
2,2.026
0,2.24
0,2.012
2,2.048
2,2.042
1,2.688
2,2.732
2,2.564
0,2.116
2,2.562
2,2.572
2,2.366
1,2.138
2,2.604
1,2.164
1,2.102
0,2.234
1,2.04
2,2.752
0,2.254
3,2.612
1,2.152
1,2.712
2,2.562
2,2.894
3,2.688
2,2.68
1,2.692
5,2.552
1,2.08
0,2.956
1,2.116
3,2.192
2,2.134
1,2.078
1,2.174
2,2.016
2,2.108
2,2.872
2,2.516
4,3.054
1,2.056
0,2.648
2,2.798
3,2.52
1,2.106
2,2.152
2,2.618
2,2.19
0,2.032
4,2.7
2,2.412
2,2.186
0,2.326
2,2.24979999999997
0,2.052
2,2.658
4,2.152
2,2.084
1,2.032
1,2.136
1,2.668
0,2.026
0,2.086
3,2.626
0,2.892
0,2.378
5,2.748
1,2
3,2.706
1,2.848
2,2.28759999999998
4,2.668
2,2.184
2,2.65
1,2.618
1,2.688
0,2.392
1,2.664
1,2.872
2,2.88
3,2.786
1,2.668
1,2.712
0,2.216
3,2.33799999999998
1,2.068
3,2.522
1,2.198
0,2.59
3,2.146
1,2.31
1,2.7
0,2.184
4,2.552
1,2.69
1,2.026
3,2.262
3,2.396
1,2.124
4,2.582
1,2.806
2,2.2
1,2.096
0,2.652
0,2.306
1,2.014
3,2.094
1,2.044
0,2.082
1,2.392
2,2.788
1,2.71
1,2.91
1,2.13
2,2.084
1,2.882
2,2.178
1,2.526
1,2.006
0,1.534
2,2.866
1,2.692
0,2.002
1,2.212
2,2.28399999999998
0,2.26
3,2.53
2,2.602
1,2.26
2,2.734
2,2.708
1,2.23359999999997
5,2.024
1,2.362
2,2.5
2,2.804
2,2.176
0,2.10939999999996
1,2.014
3,2.202
4,2.724
1,2.236
2,2.51
3,2.552
3,2.532
5,2.528
3,2.074
0,2.206
0,2.81
3,2.172
1,2.002
2,2.598
4,2.066
2,2.786
0,2.15
0,2.76
1,2.75
1,2.86
0,2.772
0,2.822
1,2.636
1,2.624
0,2.09
2,2.044
1,2.344
3,2.702
1,2.868
1,2.418
3,2.106
1,2.098
3,2.728
3,2.816
1,2.184
5,2.66
1,2.708
1,2.034
4,2.06
2,2.06
2,2.004
3,2.78
3,2.752
1,2.176
2,2.016
1,2.004
4,2.65
2,2.706
1,2.022
1,2.928
0,2.178
2,2.216
2,2.58
2,2.732
0,2.11
2,2.02
2,2.186
1,2.296
1,2.11119999999996
0,2.576
2,2.702
3,2.736
2,2.538
0,3.022
3,2.068
3,2.16519999999997
3,2.654
3,2.1
1,2.76
2,2.036
1,2.746
3,2.796
2,2.17779999999997
1,2.778
2,2.66
1,2.392
0,2.372
1,2.168
2,2.884
0,2.058
1,2.798
2,2.712
1,2.13459999999996
5,2.778
2,2.502
1,2.072
2,2.776
1,2.052
3,2.23719999999997
2,2.264
0,2.588
4,2.548
2,2.668
2,2.202
2,2.172
3,2.786
2,2.02
1,2.588
0,2.73
2,2.104
3,2.008
3,2.022
2,2.962
1,2.956
0,2.118
4,2.046
2,2.366
2,2.15
1,2.1
3,2.538
0,2.018
0,1.86
2,2.01
2,2.672
6,2.092
3,2.246
0,2.524
1,2.534
1,2.148
0,2.874
1,2.056
3,2.632
1,2.13
2,2.27139999999998
1,2.126
0,2.298
1,2.738
3,2.156
2,2.246
1,2.652
0,2.788
2,2.136
2,2.862
4,2.578
4,2.698
2,2.264
2,2.756
3,2.798
2,2.702
3,2.162
2,2.026
1,2.032
1,2.114
0,2.23
3,2.19
1,2.256
1,2.826
2,2.036
2,2.744
4,2.638
3,2.52
3,2.028
4,2.036
1,2.226
2,2.128
0,2.098
2,2.3
2,2.026
1,2.108
2,2.658
2,2.59
1,2.782
2,2.632
0,2.016
0,2.362
3,2.266
0,2.786
2,2.962
1,2.78
1,2.604
3,2.766
3,2.62
0,2.608
3,2.042
1,2.784
2,2.8
1,2.82
1,2.058
1,2.02
2,2.074
0,2.722
3,2.618
3,2.682
1,2.716
1,2.052
4,2.838
2,2.506
2,2.118
2,2.308
0,2.81
1,2.032
2,2.73
1,2.724
1,2.796
0,2.418
4,2.734
1,2.726
2,2.61
0,2.048
2,2.82
0,2.088
1,2.398
0,2.172
0,2.242
1,1.506
2,2.08
2,2.138
1,2.114
1,2.106
2,2.804
1,2.276
3,2.718
0,2.15
2,2.772
4,2.15259999999996
1,2.622
5,2.042
2,2.65
1,2.632
2,2.762
3,2.752
2,2.968
0,2.222
1,2.284
0,2.168
0,2.062
1,2.048
0,2.138
1,2.602
1,2.186
1,2.798
2,2.738
5,2.626
2,2.016
0,2.712
2,2.23
3,2.732
1,2.242
2,2.066
1,2.218
0,2.226
2,2.898
1,2.296
