"pb","quant_boot"
1,3.112
4,2.566
4,3.032
5,2.008
2,3.248
3,2.51
4,3.37579999999999
5,3.164
2,2.702
1,2.094
3,2.532
5,2.536
1,2.55
4,3.17
5,3.2
5,3
2,3.206
2,3.53
5,2.784
0,2.6
2,2.042
2,2.6
3,2.958
3,3.172
4,3.502
5,2.822
4,2.792
3,3.01
3,3.116
5,2.67
2,3.398
2,3.33
2,3.132
2,2.504
5,2.612
3,2.096
4,3.554
4,2.73
2,3.158
1,2.758
1,2.538
2,2.712
2,2.55
1,3.492
4,2.254
5,2.75879999999998
1,2.668
6,3.612
2,2.89
1,3.276
2,3.14
3,2.776
6,3.216
4,2.536
2,2.574
3,3.324
3,3.3
2,3.024
5,3.05
3,3.062
4,3.462
6,2.564
5,2.738
3,3.42
4,3.32
2,2.044
1,3.35239999999998
6,3.262
2,2.212
3,3.164
1,2.436
3,2.75
4,2.064
4,3.082
1,2.99
4,3.006
3,3.32
4,2.888
2,2.064
1,2.076
3,2.872
2,2.104
4,3.36
2,2.992
1,2.138
3,2.864
4,2.622
7,2.724
2,2.044
4,3.078
1,2.634
2,2.03
2,2.636
3,2.424
6,4.262
3,3.104
5,3.394
4,2.048
0,2.932
1,2.832
1,3.378
1,3.082
1,2.512
3,2.576
4,3.414
3,2.67
1,2.59
4,2.636
2,3.126
2,2.092
1,3.422
2,2.01
4,2.786
5,2.82
3,3.5
4,3.446
3,2.528
4,2.504
5,3.128
5,3.014
1,2.09679999999996
5,3.056
2,2.744
3,3.454
7,3.434
3,2.702
5,3.482
4,2.68
4,2.654
3,3.04
3,2.66
4,2.68
2,2.962
2,2.736
3,3.232
2,3.496
1,2.68
2,2.884
3,2.592
3,3.252
5,3.174
1,3.176
4,2.66159999999997
3,2.588
2,3.212
3,2.578
2,3.826
2,2.616
5,3.098
1,2.762
8,3.14
1,2.59
2,3.116
1,2.586
2,3.072
6,2.73
2,2.262
2,2.264
4,3.192
4,2.60399999999996
2,3.086
2,2.002
