"pb","quant_boot"
5,3.392
3,2.75159999999997
2,3.72
4,3.608
6,3.166
6,3.624
2,3.438
3,3.026
5,3.174
6,3.258
4,2.962
6,2.628
4,3.218
2,2.984
7,3.272
4,3.066
6,3.434
5,3.074
3,3.06
5,3.09
4,2.728
4,3.19
1,3.308
3,3.146
0,3.218
6,2.684
4,3.104
2,3.112
3,3.026
3,2.692
2,2.65979999999997
3,3.176
4,2.606
5,2.804
4,3.234
4,2.93339999999999
5,3.364
4,3.192
2,3.448
8,3.064
5,3.114
6,3.01
4,3.204
4,3.02
4,3.494
1,3.492
2,3.276
2,2.678
5,2.72819999999997
7,3.202
5,3.35
4,3.998
3,3.1
3,3.196
4,2.894
3,3.124
5,3.274
2,3.198
3,3.47
1,3.068
2,2.752
1,3.396
4,3.194
4,3.498
8,3.314
4,3.584
3,3.482
3,2.912
4,2.57
3,3.29
2,2.688
3,3.23
1,3.336
3,2.91719999999999
4,2.504
6,3.274
4,3.008
3,2.78039999999998
1,2.55
2,2.508
2,2.658
4,3.098
6,3.068
2,2.884
4,3.32
4,2.738
1,2.586
2,2.906
5,3.17
6,3.002
2,3.372
3,3.052
4,3.334
7,3.186
1,3.332
4,3.116
5,3.042
3,2.816
2,3.206
4,3.386
3,3.188
4,3.206
5,3.046
5,2.602
4,3.418
4,3.28
2,3.168
4,3.088
1,2.88839999999999
9,3.5
1,2.692
5,3.522
4,3.546
1,2.606
4,3.052
7,3.646
4,3.458
4,3.368
4,3.294
5,3.108
4,2.63819999999996
5,3.072
4,3.204
5,3.19
5,3.368
4,2.646
7,3.388
3,3.102
6,3.106
5,3.268
4,3.152
5,3.458
2,3.266
4,3.238
5,3.316
6,3.224
7,3.488
5,3.066
5,3.69
2,2.862
4,2.686
1,2.66
5,3.214
3,3.102
4,3.434
5,3.346
7,3.068
6,2.538
5,3.17
6,3.044
3,3.178
1,2.92619999999999
6,3.048
6,3.036
3,3.4982
2,3.182
8,3.116
2,3.496
5,2.726
5,3.05
1,3.47
7,3.824
5,3.25
3,2.734
1,2.598
3,2.85
6,3.46
6,3.474
1,3.146
1,2.942
4,3.02
2,2.98
7,3.092
5,3.234
5,3.002
1,3.16
4,2.62379999999996
1,3.062
7,3.4802
3,2.56439999999996
4,3.332
3,3.488
2,3.302
4,3.042
1,2.612
5,3.086
3,2.616
3,3.134
4,3.574
3,3.354
4,3.052
2,3.124
2,3.386
5,3.674
7,2.536
9,3.582
1,2.942
4,3.166
4,3.226
1,2.8
7,3.026
2,3.038
7,3.326
2,3.736
3,3.2
6,3.4
3,3.25
4,2.814
3,2.52
6,3.016
5,3.632
3,2.64179999999996
3,3.456
3,3.148
8,3.416
3,2.576
5,3.326
5,3.072
4,2.668
8,3.484
5,3.25
1,3.136
6,2.9532
3,2.652
2,3.27
2,2.62019999999996
