"pb","quant_boot"
1,1.334
0,1.422
0,2.1
2,1.148
0,2.188
2,1.444
1,1.222
1,1.236
0,1.354
0,1.548
0,1.22
1,1.468
0,2.054
0,1.206
2,1.146
0,1.126
0,1.212
1,1.348
1,1.372
2,2.056
1,1.18
2,1.93
3,1.964
2,1.178
2,1.328
1,1.376
3,2.166
1,2.122
1,1.416
1,1.942
1,1.926
2,2.066
3,2.056
2,1.992
1,2.022
0,1.14
1,1.914
1,1.752
1,1.392
2,2.008
1,0.822
1,1.26
1,1.20599999999995
0,1.258
3,1.658
2,1.234
1,2.104
0,2.052
0,1.89
2,1.102
2,1.324
1,1.386
0,1.458
0,1.864
0,1.242
2,2.134
0,2.062
2,1.584
0,1.41
3,1.07
1,1.938
2,1.996
2,1.926
0,1.324
0,1.342
0,1.544
1,2.112
0,2.184
2,2.136
0,1.086
0,1.276
0,1.372
1,1.056
1,1.268
2,1.292
1,1.29
0,1.304
2,1.968
0,1.198
2,1.666
2,2.044
1,1.332
2,1.534
3,2.07
1,1.93
0,1.516
2,2.058
1,2.138
1,1.44
0,1.174
2,1.724
1,1.284
2,1.764
1,1.432
2,1.298
0,2.068
2,2.38
3,1.998
0,1.142
2,1.10999999999995
0,1.44
0,1.256
1,2.052
3,1.11
2,1.112
1,1.37
5,1.844
3,1.174
3,1.274
2,1.93
2,2.042
2,2.098
3,2.124
2,1.148
2,1.866
2,1.74
2,1.23399999999995
2,1.886
1,1.258
1,1.9
0,1.884
1,0
0,1.158
2,1.904
3,1.172
1,1.212
1,2.038
0,2.036
1,1.354
2,1.39
0,1.174
2,1.588
3,2.004
2,1.762
1,1.37
1,2.104
1,2.162
3,1.968
3,2.122
1,2.078
2,2.07
1,1.406
0,1.902
1,1.154
1,1.342
1,1.306
1,1.23399999999995
1,2.002
2,1.386
2,1.188
2,2.056
0,1.976
3,1.876
1,1.814
0,1.392
2,1.648
1,1.716
1,1.628
0,1.202
0,1.34
0,1.25599999999995
1,1.966
0,2.144
2,1.746
0,1.286
2,1.224
1,1.138
1,1.104
2,1.45
0,1.342
1,1.346
0,2.108
3,1.256
0,1.874
0,2.036
0,1.996
1,2.124
2,1.304
1,1.376
0,1.576
2,1.832
2,1.262
1,2.156
1,2.006
1,1.316
1,1.23
0,1.938
1,1.212
1,1.258
3,1.092
2,1.956
0,1.278
1,1.272
0,1.198
2,1.274
3,2.112
0,1.45
3,2.01
0,0.654
2,2.066
0,1.46
0,1.79
1,1.262
2,1.456
0,1.45
1,1.942
3,1.398
1,1.606
0,1.272
0,1.134
1,1.584
0,1.376
0,1.948
0,1.184
1,1.522
2,1.29
3,1.392
1,1.126
0,1.762
0,1.208
1,1.358
0,1.846
1,1.608
1,1.262
2,0
1,1.686
2,1.26
2,2.18
1,2.066
1,2.106
3,1.452
3,1.77
0,1.328
1,2.146
0,1.244
2,1.322
0,1.334
2,1.49
5,1.802
3,1.264
2,2.112
1,1.312
0,1.52
1,1.212
3,1.294
1,2.09
0,1.25
1,1.076
2,1.76
1,1.348
1,2.13
1,1.45
0,1.456
2,1.25799999999995
2,1.996
0,1.26
2,2.05
1,1.354
1,1.71
1,1.256
1,2.018
1,1.616
1,1.234
1,1.316
0,1.336
0,1.438
1,1.308
0,1.282
1,2.132
2,1.32
2,1.20399999999995
0,2.12
1,2.126
3,1.952
0,1.164
1,1.778
0,1.218
1,2.022
1,1.914
2,1.09
1,1.844
0,2.474
1,1.9
1,1.228
2,1.906
1,2.064
1,2.106
3,1.9
2,1.3
0,1.362
0,1.354
2,1.284
0,1.266
0,1.98
1,1.18
2,1.66
1,1.186
0,1.134
0,1.59
1,1.994
1,1.262
1,1.23
0,1.288
1,1.222
1,2.052
1,1.172
0,1.196
2,2.038
0,1.442
1,1.916
3,2.088
1,1.362
0,1.414
3,1.888
0,1.318
1,1.306
2,1.906
2,1.576
1,1.2
0,1.956
2,2.058
3,1.916
1,1.942
1,1.186
1,1.95
2,1.012
0,1.422
1,2.044
0,1.48
0,1.378
1,1.852
2,1.284
3,1.612
1,1.232
1,1.292
3,1.15599999999995
0,2.102
0,1.172
1,1.228
1,1.36
1,1.452
2,1.11599999999995
0,2.026
0,1.232
1,1.968
0,1.284
1,1.232
2,1.104
3,1.996
0,1.204
0,1.258
0,1.434
1,2.05
1,1.168
1,1.794
0,1.362
2,1.274
0,2.028
0,1.16
2,1.91
2,1.072
1,1.934
5,1.544
0,2.05
2,2.044
0,1.408
0,1.258
1,2.032
1,1.314
3,1.716
3,1.21
3,1.864
1,1.578
2,1.132
1,1.848
0,1.254
2,1.378
1,1.394
1,1.208
0,1.52
1,1.874
1,1.07399999999995
1,2.112
0,1.518
0,1.134
0,1.21
0,1.304
0,1.33
0,2.1
0,1.194
2,1.764
2,1.97
1,2.05
2,2.118
0,1.41
2,1.752
1,1.91
1,1.156
2,1.118
1,1.116
2,1.912
1,1.126
2,1.88
1,1.07599999999995
1,1.158
1,2.04
1,1.976
1,1.856
1,1.258
1,1.76199999999995
2,2.004
3,1.706
1,2.092
0,1.28
1,1.866
1,1.19
1,1.9
1,1.284
1,1.946
1,1.946
2,2.152
1,1.794
4,1.58779999999996
2,1.916
0,1.518
0,1.404
2,2.086
0,1.252
1,1.668
1,1.982
1,1.17999999999995
1,1.416
0,0.697999999999955
2,2.11
0,1.394
2,1.78
0,2.062
3,2.01
0,1.448
1,1.38
1,1.222
2,1.202
2,1.206
0,1.228
0,1.836
1,1.14799999999995
0,1.552
2,1.9
1,1.166
3,1.208
1,1.362
2,1.072
0,1.274
1,1.814
1,1.95
3,1.884
1,1.18
1,1.70399999999995
2,1.696
3,1.268
2,2.078
2,1.7
1,1.346
1,1.174
2,1.198
0,1.406
3,1.712
3,1.628
1,1.246
2,1.994
2,2.038
1,1.446
0,1.262
0,1.262
2,1.828
1,1.83
0,2.194
1,1.792
0,1.226
2,2.142
0,1.32
0,1.276
0,1.184
0,2.046
0,1.374
1,1.536
0,1.408
2,1.738
1,1.978
2,1.924
1,1.986
2,1.814
2,1.964
1,1.45
0,1.452
1,1.208
1,1.214
0,1.174
0,1.918
2,1.92
2,1.372
0,1.186
2,1.892
4,1.816
1,1.256
1,1.394
3,1.232
1,2.012
2,1.064
2,2.158
1,1.23
2,1.472
0,1.224
1,2.056
1,1.632
1,1.272
0,1.484
1,1.306
3,1.618
1,1.23
0,2.076
0,1.45
1,1.126
1,1.258
3,1.874
2,2.122
1,1.178
0,1.426
2,1.75
1,1.312
1,1.896
1,1.536
0,1.21399999999995
0,1.138
3,2.084
1,1.154
1,1.968
0,1.378
1,1.352
1,1.224
0,0.688
2,1.172
1,1.36
0,1.106
2,1.382
1,1.328
1,1.426
3,2.57
1,1.278
3,1.088
0,1.82
0,1.328
3,2.012
0,0.699999999999955
1,1.772
1,1.396
1,1.322
2,1.394
0,1.402
0,2.004
0,1.304
0,1.942
1,0.661999999999955
1,1.218
1,1.982
0,1.568
1,2.124
1,1.32
0,1.26999999999995
1,1.058
4,1.878
1,2.034
1,1.222
4,1.752
0,2.082
1,1.182
1,1.478
0,1.208
2,1.16799999999995
0,1.286
1,2.176
2,1.972
1,1.308
0,1.364
0,1.98
0,2.082
1,1.98
1,2.028
2,1.946
1,1.214
0,2.19
3,2.048
0,1.212
1,1.914
1,1.246
1,1.466
0,1.44
2,2.02
0,1.348
1,1.284
1,1.854
2,1.226
0,1.13
0,1.84
1,2.016
1,1.156
2,1.272
0,1.22799999999995
2,1.4
1,1.85
2,1.456
2,1.17199999999995
2,1.238
3,1.228
2,1.226
0,1.57
1,2.182
1,1.356
2,1.922
1,1.238
2,1.93
3,1.63
0,1.354
1,2.068
1,2.092
1,1.222
0,1.32
1,1.822
2,2.058
0,1.204
1,1.198
0,1.262
1,1.424
1,1.116
0,1.75
0,1.398
2,2.044
1,2.08
0,1.37
1,1.358
1,1.502
1,2.04
1,1.164
2,2.102
0,1.222
0,1.99
4,1.868
1,1.254
1,1.382
0,1.32
0,1.382
3,1.99
1,2.166
0,1.48
0,1.272
0,1.918
1,1.954
2,1.846
2,1.814
1,1.176
0,1.254
1,2.086
2,2.044
1,2.114
3,1.912
0,1.322
4,2.348
1,1.22199999999995
3,1.87
1,1.452
0,2.072
0,1.55
1,1.272
1,1.408
0,1.118
0,2.134
2,1.23
4,1.262
1,2.128
1,1.124
0,1.71
2,1.06079999999996
0,1.42
2,1.19
1,2.098
2,1.06259999999996
3,1.076
1,1.996
1,1.308
2,1.208
0,1.236
0,1.436
0,2.112
0,1.378
1,1.36
2,2.136
0,1.34
4,1.882
1,1.262
1,2.054
1,1.218
2,2.004
1,1.264
3,1.77
3,2.102
1,1.84
2,1.224
0,1.364
0,1.248
1,1.168
2,2.004
1,1.13599999999995
0,1.466
3,1.962
0,1.384
0,1.102
2,1.922
0,1.502
3,1.976
1,1.304
1,1.13
2,1.978
1,1.042
1,2.054
0,1.264
3,2.114
0,1.328
0,1.85
2,1.64
2,1.116
1,1.828
1,1.732
0,1.232
0,1.214
0,1.97
0,1.528
0,1.262
1,1.144
1,1.97
0,1.262
2,2.058
1,2.056
3,1.154
0,1.452
0,2.006
0,1.348
1,1.20199999999995
0,1.11
5,1.11999999999995
0,1.202
1,1.168
0,1.808
1,1.328
2,1.258
2,1.722
1,1.344
2,1.204
1,1.368
0,1.438
3,1.828
3,2.014
1,2.194
3,2.062
1,2.078
2,1.116
2,1.14
1,2.086
0,1.18
1,1.07799999999995
2,1.212
0,1.118
2,1.218
1,1.326
1,1.488
1,1.498
1,1.346
1,1.85
1,1.218
1,2.038
3,2.112
1,1.334
1,1.294
0,1.146
2,1.53
4,2.12
0,1.436
0,1.984
1,1.358
1,1.35
1,1.354
1,2.174
0,1.354
1,1.728
1,1.982
0,2.098
0,1.296
0,1.298
1,2.002
0,2.012
0,1.948
1,1.976
1,1.256
0,1.27
0,1.166
2,1.234
0,1.224
1,1.404
2,1.338
0,1.378
0,1.396
1,2.094
0,2.01
2,1.236
1,1.378
1,1.246
2,1.764
1,2.054
1,1.498
0,1.158
0,2.044
1,1.792
0,1.414
2,1.99
0,1.272
0,1.266
1,1.49
2,1.726
0,1.42
3,1.718
1,1.524
3,2.016
3,1.816
2,2.044
2,1.23799999999995
1,1.318
0,1.41
1,1.432
0,1.234
2,1.76
2,2.184
0,1.512
0,1.564
0,2.05
1,1.28
2,1.962
2,1.884
2,2.104
1,1.986
3,1.926
1,1.222
1,2.044
0,2.076
0,1.382
0,1.138
2,1.944
1,2.002
1,1.468
0,2.106
3,1.9
1,1.038
0,2.12
1,1.152
2,1.956
0,2.146
1,1.18
0,1.332
0,1.576
0,1.11
1,2.026
1,2.226
0,1.454
1,1.17
1,2.032
2,1.966
1,1.248
0,1.23
0,0.704
0,1.302
1,1.148
3,2.04
1,1.482
1,1.918
0,1.688
1,2.05
0,1.166
3,1.738
0,1.55
1,2.002
1,1.218
