"pb","quant_boot"
0,0.824
0,0.768
0,0.042
1,0.814
2,1.678
0,0.87
2,0.677999999999955
0,0.914
0,0.832
0,0.828
0,0.918
0,0.85
1,0.844
1,0.914
1,0.874
1,1.572
0,0.03
0,0.866
0,0.006
0,0.028
2,0.758
0,0.8
0,0.032
1,0.914
0,0.916
1,0.818
1,0.788
0,0.848
0,0.876
0,0.848
0,0.938
0,0.928
0,0.745999999999954
0,0.91
0,0.723999999999954
0,0.914
0,0.048
0,0.894
0,0.9
0,0.868
0,0.926
1,0.848
0,0.928
0,0.032
1,0.848
1,0.708
0,0.018
0,0.824
0,0.936
0,0.034
0,0.912
0,0.908
1,1.366
3,0.838
0,0.81
0,0.882
0,0.018
0,0.926
0,0.886
0,0.916
0,0.884
1,0.856
1,0.686
0,0.776
0,0.032
0,0.734
0,0.724
0,0.794
0,0.892
0,0.922
0,0.936
0,0.032
0,0.02
0,0.868
0,0.72
0,0.86
1,0.924
1,0.698
0,0.036
0,0.89
0,0.036
0,0.8
0,0.896
0,0.05
0,0.936
0,0.886
0,0.94
0,0.796
1,0.872
0,0.908
0,0.822
1,0.904
1,0.802
0,0.934
0,0.042
0,0.014
0,0.924
1,0.742
0,0.03
0,0.687999999999955
1,0.798
1,0.776
0,0.03
1,0.692
0,0.756
0,0.024
0,0.922
0,0.048
1,0.834
0,0.928
1,0.87
0,0.768
0,0.922
1,0.69
1,0.874
0,0.908
0,0.908
1,0.794
0,0.018
0,0.82
0,0.946
1,0.896
0,0.862
0,0.928
0,0.852
1,0.766
0,0.662
1,0.946
0,0.904
0,0.912
0,0.876
0,0.878
0,0.928
0,0.794
0,0.868
0,0.918
0,0.046
0,0.88
0,0.866
0,0.014
0,0.912
1,0.834
1,0.894
0,0.669999999999955
0,0.944
0,0.878
0,0.872
1,0.88
2,0.73
0,0.844
0,0.904
0,0.818
0,0.03
1,1.604
0,0.01
0,0.89
0,0.82
0,0.824
0,0.924
0,1.612
2,0.766
0,0.69
0,0.934
1,0.94
0,0.944
0,0.92
0,0.016
0,0.944
0,0.876
0,0.934
0,0.92
0,0.03
0,0.802
0,0.868
0,0.918
0,0.938
0,0.782
2,0.782
0,0.826
0,0.898
0,0.006
1,0.866
0,0.044
0,0.846
0,0.88
0,0.84
1,0.862
0,0.872
0,0.034
1,0.834
0,0.846
1,0.808
0,0.72
0,0.762
0,0.892
0,0.016
1,0.744
0,0.944
0,0.932
1,0.868
0,0.938
0,0.748
0,0.832
0,1.458
0,0.706
0,0.682
0,0.044
0,0.022
1,0.796
0,0.686
0,0.862
0,0.93
1,0.798
1,0.9
0,0.776
1,1.624
0,0.868
1,0.826
1,0.898
0,0.918
1,0.046
0,0.808
0,0.008
0,0.914
1,0.916
0,0.036
0,0.874
0,0.918
1,0.84
0,0.778
0,0.91
0,0.788
0,0.794
0,0.838
0,0.932
0,0.852
0,0.934
3,0.756
0,0.89
0,0.888
0,0.748
2,0.734
1,0.81
0,0.044
0,0.844
0,0.028
0,0.878
0,1.624
0,0.948
1,0.88
0,1.566
0,0.922
0,0.828
2,1.542
0,0.932
0,0.928
0,0.872
1,0.826
3,0.772
1,0.85
0,0.02
0,0.938
0,0.02
0,0.818
1,0.844
0,0.912
1,0.698
1,0.782
0,0.87
0,0.934
0,0.912
0,0.908
1,1.422
1,1.614
0,0.938
0,0.942
0,0.948
0,0.806
0,0.894
0,0.824
1,0.882
0,0.78
0,0.854
0,0.916
0,0.87
0,0.908
0,0.914
0,0.024
0,0.89
0,0.802
0,1.548
1,0.876
0,0.912
1,0.732
0,0.018
0,1.62
0,0.92
0,0.838
0,0.856
0,0.032
0,1.606
0,0.894
0,0.866
0,0.792
0,0.702
1,0.89
1,0.87
1,0.878
0,0.008
0,0.854
0,0.86
0,0.044
0,0.884
1,0.718
1,0.838
0,0.876
0,0.9
0,0.85
1,0.862
0,0.944
0,0.94
0,0.912
0,0.888
0,0.792
0,1.582
1,0.826
0,0.858
0,0.669999999999955
0,0.032
0,0.866
0,0.024
2,0.75
0,0.852
0,0.022
0,1.632
0,0.784
1,0.854
0,0.828
2,0.876
1,0.814
1,0.898
0,0.936
1,0.85
0,0.918
0,0.816
0,0.928
0,0.052
0,0.904
0,0.888
0,0.708
1,1.582
0,0.838
0,0.044
0,1.63
0,1.48
0,0.854
0,0.736
0,0.044
0,0.84
0,0.798
0,0.75
0,0.934
0,1.564
0,0.942
0,0.876
0,0.838
0,0.886
1,0.9
0,0.906
1,1.57
0,0.806
1,0.668
0,0.036
0,0.864
1,0.854
0,0.836
0,0.882
3,1.508
0,0.832
0,0.842
0,0.734
1,0.898
0,0.864
1,0.92
0,0.798
1,0.736
0,0.864
1,0.672
0,0.782
0,0.048
0,0.928
2,0.824
0,0.914
0,0.876
0,0.874
1,1.62
0,0.032
0,0.76
0,0.8
0,0.924
0,0.942
0,0.934
0,0.918
1,0.898
0,0.924
0,0.856
0,0.88
0,0.916
1,0.91
1,0.9
0,0.886
0,0.03
1,0.92
0,0.014
0,0.856
1,0.864
0,0.892
1,0.832
0,0.934
0,0.884
0,1.602
0,0.756
0,0.898
1,0.682
0,0.892
0,0.896
1,0.908
0,0.03
0,0.808
0,0.942
0,0.852
1,0.812
0,1.634
0,1.508
1,0.852
0,0.93
0,0.844
0,0.82
1,0.902
0,0.906
0,0.854
1,0.822
0,0.938
1,0.844
1,0.744
0,0.906
0,0.724
0,0.944
0,0.842
0,0.894
0,0.762
0,0.81
0,0.882
0,0.894
0,0.814
2,0.792
1,0.832
0,0.918
1,0.876
1,0.904
0,0.048
0,0.902
0,0.926
0,0.926
0,0.834
0,0.94
0,0.932
0,0.832
0,0.938
0,0.93
0,0.912
0,0.858
0,0.94
2,0.796
1,0.854
0,0.67
1,0.714
3,0.704
0,0.882
0,0.666
0,0.806
2,0.878
0,0.866
0,0.0949999999999591
0,0.034
0,0.02
1,0.858
1,0.848
0,0.836
0,0.918
0,0.042
0,0.782
0,0.906
0,0.0949999999999591
1,0.856
1,0.788
0,0.922
0,0.74
0,0.848
1,0.9
3,1.662
0,0.04
0,0.782
0,1.622
0,0.046
0,1.572
1,0.872
0,0.922
0,1.622
1,0.676
0,0.908
0,0.694
0,0.836
0,0.034
0,0.906
0,0.864
0,1.586
0,0.028
0,0.012
0,0.804
0,0.836
0,0.036
0,0.742
0,0.9
1,0.846
1,0.822
0,0.018
0,0.038
0,0.892
0,0.882
0,0.678
0,0.78
0,0.818
0,0.038
0,0.018
1,1.62
1,0.828
1,0.914
0,0.0967999999999593
0,0.844
0,0.038
1,0.928
0,0.88
0,0.012
0,0.834
0,0.938
0,0.928
0,0.928
0,0.032
0,0.93
0,0.922
1,0.74
0,0.938
0,0.912
0,0.784
1,0.83
0,0.04
1,0.938
0,0.036
1,0.026
0,0.772
0,0.922
0,0.874
0,0.862
0,0.692
0,0.908
0,0.018
0,0.922
0,0.924
0,0.832
0,0.908
0,0.912
0,0.026
0,0.902
1,0.836
1,0.712
0,0.03
1,0.83
0,0.932
0,0.934
0,1.522
0,0.716
0,0.94
0,0.02
0,0.709999999999954
0,0.026
0,0.934
0,0.928
0,0.044
1,0.8
0,0.918
1,0.732
0,0.0949999999999591
0,0.034
0,0.728
1,0.872
0,0.928
0,0.708
1,1.568
1,0.824
0,0.10219999999996
3,0.802
1,0.78
0,0.798
0,0.02
0,0.784
1,0.948
1,0.82
0,1.598
0,0.784
0,0.006
0,1.634
0,0.896
0,0.938
0,0.714
0,0.842
0,0.04
0,0.86
0,0.87
0,0.046
1,0.804
1,0.894
0,0.942
0,0.922
0,0.91
0,0.026
0,0.936
2,0.762
0,0.788
0,0.916
0,0.902
0,0.846
0,0.912
0,0.9
0,1.572
0,0.946
0,0.748
0,0.832
0,0.878
0,0.924
0,0.038
1,0.746
1,0.872
0,0.016
1,0.82
0,0.816
0,0.896
0,0.934
0,0.796
0,0.012
0,0.896
2,0.75
0,0.904
1,0.9
0,0.014
0,0.916
0,0.914
1,0.948
0,0.812
0,0.936
0,0.03
0,0.864
0,0.92
1,0.8
0,0.922
0,0.874
0,0.018
0,0.916
0,0.926
0,0.882
0,0.046
0,0.878
0,0.878
0,0.934
0,0.878
0,0.808
0,0.922
1,1.586
0,0.938
1,0.848
2,0.736
1,0.902
0,0.922
0,0.916
0,0.89
0,0.932
0,0.872
0,0.04
0,0.888
0,0.874
0,0.894
0,0.8
0,0.914
0,0.914
1,0.882
0,0.878
1,0.846
0,0.938
0,0.858
0,0.814
0,0.844
0,0.822
0,0.832
0,0.742
2,0.81
0,0.874
2,0.798
0,0.778
1,0.886
1,0.816
0,1.634
0,0.94
0,0.046
0,0.736
1,0.854
0,0.896
1,0.844
1,0.854
1,0.8
1,0.734
0,0.026
0,0.902
0,0.046
0,0.872
0,0.898
0,0.9
0,0.806
0,0.94
0,0.878
2,0.812
3,0.706
0,0.876
0,0.92
0,0.048
0,0.848
1,0.94
0,1.59
2,0.788
2,0.734
0,0.9
0,0.74
0,0.792
0,0.03
0,0.922
1,0.874
0,0.004
0,0.93
0,0.912
0,0.92
0,0.942
0,0.038
0,0.94
0,0.822
0,0.938
0,0.0967999999999593
0,0.924
0,0.936
1,0.708
0,0.918
0,0.912
0,0.858
0,0.914
0,0.902
0,0.01
2,1.574
1,0.846
0,0.934
0,0.036
1,0.896
0,0.914
0,0.048
0,0.938
0,0.91
1,0.762
0,0.05
1,0.808
0,0.032
0,0.894
2,1.62
0,0.874
0,0.938
0,0.026
1,0.918
1,0.802
1,0.81
0,0.856
0,0.054
1,0.83
0,0.858
0,0.912
0,0.024
1,0.786
0,0.842
0,1.634
0,0.042
0,0.044
0,0.048
1,0.892
0,0.892
0,0.732
0,0.792
0,0.72
2,0.852
2,1.588
0,0.05
0,0.032
0,0.844
0,0.822
0,0.856
1,0.694
1,0.844
0,0.042
0,0.046
0,0.912
0,0.936
1,0.86
0,0.86
0,0.762
0,0.93
0,0.04
1,0.794
0,0.79
0,0.028
0,0.874
1,0.712
3,0.722
1,0.862
0,0.676
0,0.802
1,0.732
0,0.852
0,0.93
0,0.876
0,0.774
3,0.734
1,0.812
0,0.938
0,0.914
0,0.034
1,0.744
0,0.844
0,0.924
0,0.792
0,0.866
1,0.732
0,0.934
1,0.912
0,0.898
1,0.884
0,0.044
2,0.772
0,0.886
0,1.658
0,0.808
0,0.052
0,0.912
2,0.778
1,0.92
0,0.882
0,0.0949999999999591
1,0.84
0,0.048
0,0.938
0,0.848
0,0.696
0,0.852
0,0.92
0,0.048
0,0.888
0,0.84
0,0.892
0,0.854
1,0.792
0,0.026
2,0.808
1,0.874
0,0.0967999999999593
0,0.91
0,0.89
0,0.852
0,0.038
0,0.04
1,0.824
1,0.804
0,0.006
0,0.888
1,0.77
0,0.938
0,1.592
1,1.636
0,0.9
0,0.886
0,0.912
1,0.864
0,0.864
0,0.876
0,0.79
0,0.894
0,0.72
1,0.828
0,0.852
0,0.044
0,0.902
0,0.03
0,0.946
0,0.87
0,0.02
0,0.846
0,0.94
0,0.882
0,0.012
0,0.868
0,0.844
0,0.896
0,0.0967999999999593
0,0.89
0,0.93
1,0.844
0,0.842
0,0.936
0,0.948
2,0.688
0,0.87
1,1.302
0,0.034
0,0.024
0,0.678
0,0.73
2,1.59
0,0.694
1,0.876
0,1.626
2,0.864
0,0.936
0,0.808
0,0.016
1,1.632
0,0.886
0,0.026
1,0.768
1,1.544
0,0.048
2,0.89
0,0.694
0,0.006
0,0.026
0,0.836
0,0.914
0,1.664
1,0.738
0,0.034
0,0.924
0,0.846
0,0.898
0,0.856
0,0.028
0,0.894
0,0.04
0,0.758
0,0.868
0,0.91
1,0.842
0,0.928
0,0.006
0,0.868
0,0.044
0,0.78
1,0.896
0,0.854
1,0.93
0,0.838
0,0.942
2,0.674
1,0.828
0,0.876
0,0.914
0,0.934
1,0.716
0,0.894
0,0.044
0,0.858
0,0.836
0,0.802
0,0.918
0,0.032
0,0.67
0,0.792
0,0.686
0,0.864
0,0.878
0,0.0985999999999594
1,0.828
1,0.784
0,1.686
0,0.87
0,0.852
1,0.856
2,0.724
0,0.772
0,0.902
