"pb","quant_boot"
4,2.906
2,2.068
5,3.024
5,3.02
8,2.944
2,2.25
1,2.27
2,2.19599999999995
5,2.918
3,2.328
3,2.046
1,2.366
1,2.354
5,2.932
2,2.272
7,2.16999999999995
6,2.248
0,2.17
3,3.07
3,2.076
7,3.01
4,3.126
2,2.212
5,2.98
4,2.106
4,2.752
1,2.114
4,2.836
3,2.934
3,2.064
3,2.006
4,2.13799999999995
4,2.996
3,2.11
4,2.11839999999996
2,2.396
4,2.226
5,3.074
3,2.202
4,2.264
6,2.272
1,2.296
2,2.252
1,2.272
3,2.166
2,2.056
5,2.228
4,2.414
5,2.252
2,2.116
3,2.102
5,2.278
4,2.942
2,2.334
2,2.30799999999995
2,3.052
1,2.35
4,2.254
6,2.846
2,2.166
4,2.19
6,2.894
3,2.934
0,3.126
4,3.014
3,2.21
2,2.94
6,2.136
4,2.912
2,3.034
3,2.252
3,2.13
2,2.526
7,2.934
7,2.998
6,2.352
3,2.142
3,2.49
2,2.956
6,2.23
2,3.17
3,2.142
4,2.13999999999995
4,2.376
4,2.104
3,2.092
6,3.06
7,2.97
1,2.298
6,2.05719999999996
1,2.418
5,3.006
1,2.21399999999995
1,3.126
4,2.188
8,2.194
2,2.324
3,2.396
3,2.364
2,2.372
3,2.906
3,2.262
7,2.324
2,2.25
4,2.732
9,2.796
2,2.116
6,3.088
3,2.106
3,2.978
0,2.338
0,2.338
2,3.186
1,2.126
0,2.354
3,2.384
5,3.112
6,2.152
1,2.276
2,2.206
2,2.18
2,2.408
2,2.966
5,2.888
2,3.006
4,2.144
3,2.33
1,2.568
5,2.89
4,2.918
3,3.062
2,2.11
6,2.152
5,2.998
2,2.948
3,2.16
3,2.998
2,2.536
3,2.108
1,2.182
4,2.134
5,2.278
6,2.018
5,2.334
1,3.176
0,2.258
7,2.966
1,2.168
4,2.08
4,2.938
5,2.094
6,2.898
3,2.042
2,2.226
3,3.016
2,2.376
5,2.048
2,2.902
2,2.892
5,2.954
2,2.122
2,2.986
5,2.95
0,2.2
4,2.406
3,2.286
2,2.182
4,2.734
2,2.88
2,2.9
1,2.182
6,3.052
4,2.214
6,2.242
3,2.12999999999995
4,2.332
2,2.282
2,2.212
3,2.984
5,2.83
3,2.288
2,2.13199999999995
2,2.184
2,2.27
4,3.034
3,2.898
5,2.104
7,3.164
1,2.472
3,2.256
7,2.154
4,2.146
2,2.092
3,2.95
5,2.022
3,2.324
3,2.284
3,3.08
3,2.824
6,2.978
4,2.402
6,3.04
8,2.83
6,2.804
3,2.31
0,2.256
2,2.624
2,2.208
3,2.262
4,2.05
3,2.22799999999995
6,2.286
1,2.22
4,2.19199999999995
6,2.162
1,2.21
4,2.112
2,2.448
1,2.172
6,2.08599999999996
5,3.09
6,2.06
4,2.194
3,2.112
2,2.202
1,2.276
8,2.124
2,2.238
2,2.518
2,2.302
3,2.18799999999995
4,3.14
3,2.108
1,2.176
6,3.072
6,2.016
3,2.488
1,2.416
5,2.868
4,3.004
1,2.27
2,2.266
4,2.168
5,2.276
2,2.172
0,2.476
8,2.06
3,2.332
1,2.354
2,2.196
2,2.55
2,2.16199999999995
2,2.24
1,2.126
3,2.27
3,2.118
4,2.186
1,3.04
6,2.784
2,2.044
4,2.088
4,2.91
5,2.334
2,2.052
1,2.002
2,3.2
4,2.224
2,3.066
2,2.146
3,2.106
4,2.248
0,3.154
7,2.06
5,2.114
4,3.036
8,2.24199999999995
4,3.04
4,2.976
1,3.066
2,2.614
8,3.042
1,2.158
3,2.994
2,3.108
3,2.394
7,3.078
4,2.2
3,2.194
1,3.118
1,2.25
6,2.14
1,2.186
5,2.946
3,2.952
5,2.986
1,2.79
2,3.092
3,2.22
5,3.05
1,2.378
3,3.162
2,2.446
1,2.246
4,2.908
2,2.032
4,2.4
2,2.21
3,2.234
3,3.118
1,3.002
3,2.086
0,2.07399999999995
1,2.426
5,2.27
1,3.124
3,2.196
3,2.328
5,2.796
2,2.178
3,2.97
3,2.138
5,2.05539999999995
5,3.024
6,2.304
4,2.82
5,2.368
2,2.246
3,2.282
3,2.988
1,2.9
5,2.11199999999995
3,2.058
4,2.12
5,2.106
1,3.076
3,3.146
5,2.384
2,3.054
2,2.354
3,2.266
2,2.152
2,2.316
4,2.22
1,2.244
1,2.298
1,2.27
2,2.996
2,2.046
4,2.122
0,2.124
5,3.06
4,3.034
4,2.792
1,3.15
6,2.85
4,2.334
5,2.476
2,2.296
1,2.362
3,2.342
1,2.322
2,2.426
5,3.154
3,3.016
3,2.09
2,2.314
3,2.05719999999996
3,2.07799999999995
4,2.278
5,2.194
3,2.192
2,2.976
6,2.912
3,2.13199999999995
4,2.13599999999995
1,2.294
8,2.838
3,2.25
4,2.314
0,1.682
2,2.086
5,2.25999999999995
5,3.01
1,3.01
0,2.276
2,2.152
6,2.186
0,2.236
3,2.2
2,3.104
3,2.172
3,2.86
2,2.892
3,2.24
5,2.35599999999995
3,2.36
3,2.09999999999995
5,2.924
3,2.09399999999995
0,2.056
4,2.048
3,2.95
2,2.05359999999996
2,2.04
4,2.188
3,2.23
3,2.114
3,2.248
2,2.13999999999995
3,2.156
3,2.308
3,2.824
7,2.04
5,2.06
5,2.992
3,3.04
3,2.98
3,3.078
1,2.006
1,2.346
2,2.114
9,2.098
3,2.35
7,3.046
5,2.064
2,3.11
1,2.458
1,2.214
2,2.128
0,2.17199999999995
2,2.364
6,2.348
7,3.008
3,2.98
2,2.15
0,2.148
3,2.094
4,2.172
3,2.18
3,2.258
5,2.484
4,2.428
2,2.182
2,2.218
0,2.264
3,2.35799999999995
0,2.19
4,3.064
3,2.268
1,2.456
3,2.16399999999995
4,2.156
6,3.016
2,2.458
3,2.114
3,2.152
3,2.42
4,2.98
3,2.028
3,2.524
5,2.242
1,3.138
3,2.04
4,3.158
2,2.162
4,2.896
2,2.362
4,2.742
6,3.004
8,3
2,2.212
2,3.1
3,2.138
5,2.54
4,3.198
3,3.046
3,2.2
3,3.082
6,2.814
4,2.002
1,2.21599999999995
0,2.454
6,2.03
5,3.022
4,2.136
3,3.058
4,3.024
4,3.06
6,3.054
2,2.148
3,2.038
4,3.018
3,2.984
3,2.984
2,2.33
0,2.244
5,3.286
3,3.16
4,2.908
4,2.078
8,2.99
7,2.894
1,2.11
6,2.10999999999995
4,2.08
3,2.97
1,2.61
7,2.928
3,2.12199999999996
3,2.916
1,3.272
5,2.774
3,2.286
4,2.162
1,3.032
3,2.346
3,2.208
2,2.314
4,2.968
6,2.464
4,2.31
3,2.2
1,2.346
1,2.33
3,3.04
5,2.358
1,2.2
5,2.136
2,2.158
3,3.016
4,2.034
2,2.072
6,2.224
4,2.384
5,2.08
2,2.936
4,2.16
2,2.198
3,2.044
3,2.026
1,2.004
1,2.124
3,3.148
0,2.142
2,3.074
1,2.34
4,3.032
11,3.108
5,2.384
8,2.2
1,2.964
3,3.082
3,2.288
1,2.16
1,2.254
1,2.274
3,2.162
4,2.216
1,2.222
4,2.134
1,2.478
1,3.154
2,2.212
2,2.218
4,2.154
3,2.476
6,2.804
5,3.04
1,2.3
2,2.20399999999995
2,2.084
3,2.11799999999995
3,2.342
2,2.08059999999996
3,2.962
2,2.308
2,2.016
3,2.206
3,2.176
2,2.298
3,3.17
2,2.066
3,2.206
2,2.376
7,2.222
5,3.02
8,2.208
2,2.966
3,3.038
0,2.136
5,2.126
3,2.41
3,2.446
3,2.04
4,2.128
2,2.038
2,2.36
0,2.39
2,3.216
4,2.14
1,2.174
1,2.414
3,2.804
1,2.016
3,2.954
4,2.15
2,2.238
2,2.522
0,2.104
8,2.126
3,2.19
1,2.018
6,2.024
1,2.01
1,2.834
5,2.156
3,2.99
1,3.128
2,2.186
3,2.352
6,3.024
3,2.28
5,2.166
3,2.146
3,2.184
2,3.114
3,2.334
2,2.262
1,3.13
5,2.094
5,3.12
5,3.02
5,2.886
5,2.15
5,2.214
2,2.418
1,3.13
1,2.952
4,3.03
3,2.358
1,2.196
2,3.07
1,2.204
1,2.344
5,2.918
5,2.076
1,2.686
4,2.16599999999995
2,2.15
6,2.114
4,3.074
5,2.926
6,2.258
2,2.386
3,3.072
5,2.918
1,3.01
6,3.04
3,2.19
1,3.004
7,2.016
0,2.25
8,2.064
2,2.712
1,2.288
4,2.994
1,2.372
2,2.194
7,2.722
5,2.698
3,3.016
3,2.21799999999995
7,3.076
2,2.334
3,3.132
1,2.42
1,2.978
6,2.246
6,2.308
2,2.218
5,2.806
4,2.17
1,2.168
3,2.446
3,2.214
2,2.326
3,2.92
4,2.208
