"pb","quant_boot"
5,4.72
5,2.76
5,4.66
4,4.66
5,4.672
8,4.892
3,4.5
3,4.074
4,4.218
4,4.632
4,4.258
7,4.054
5,3.75
4,5.146
3,4.992
4,4.202
5,4.822
7,4.544
5,4.548
7,4.416
7,4.852
5,4.114
6,4.914
3,1.57
3,4.776
7,4.224
5,4.588
4,1.95
4,4.028
6,3.168
9,4.276
5,4.686
6,5.234
4,4.594
4,4.718
8,4.4676
6,4.504
4,4.81
5,4.214
4,4.71
4,2.036
6,4.948
5,4.698
5,4.838
9,4.17
6,4.596
3,4.94
6,4.824
8,4.956
7,4.112
4,3.006
5,4.152
7,4.284
5,0.824
8,4.79
5,5.35
2,3.5
5,4.716
4,3.534
6,4.6
7,4.606
6,4.66
4,4.984
6,4.754
6,5.084
5,3.92
4,4.932
7,4.342
4,4.19
5,4.3
6,4.42799999999999
3,1.782
9,3.91719999999999
7,4.868
7,0
4,4.364
4,4.904
3,0.774
2,4.084
6,4.714
4,3.516
2,4.473
0,3.3
5,4.4
3,4.91
3,4.868
6,1.30199999999995
6,4.528
1,4.03
3,4.886
5,4.778
8,4.4694
7,4.712
4,4.02
4,4.432
5,4.904
7,3.598
6,4.24979999999997
6,4.848
2,4.348
9,5.032
8,4.388
5,4.908
5,4.602
3,2.826
7,4.228
7,2.16
4,4.042
5,4.31
5,5.014
3,4.922
5,4.248
4,3.536
6,4.242
3,4.542
4,4.512
4,4.168
8,4.696
3,4.444
3,4.824
3,4.888
6,4.222
7,4.224
3,4.556
7,4.63
7,4.718
7,4.37
4,3.798
2,4.752
4,4.508
5,4.846
8,4.642
6,4.372
9,4.922
6,4.074
5,4.292
5,4.274
3,4
5,3.512
8,4.516
6,3.09
7,0.886
5,4.124
6,4.858
6,4.138
4,4.72
6,4.972
4,3.11
6,4.288
8,1.36
4,4.916
4,3.846
3,4.554
6,4.194
5,4.81
7,4.758
7,4.24619999999998
7,4.962
5,3.752
7,4.872
9,4.95
6,0.022
3,4.37
10,2.674
7,4.134
3,4.274
13,5.242
4,2.52
3,4.56
5,4.95
6,4.516
3,4.96
5,4.238
11,4.952
9,4.55539999999996
7,4.086
5,4.126
4,3.748
8,3.236
9,0.034
2,4.004
5,4.336
4,4.6
8,4.15259999999996
6,4.55
3,4.922
3,4.02
1,4.208
4,4.482
3,0.804
6,4.112
5,3.07
5,4.75
8,5.49
7,4.568
3,2.892
6,4.47
5,4.968
3,4.136
4,4.998
6,5.07
5,5.02
6,4.686
5,2.58
5,4.894
6,5.25
6,4.616
7,4.802
5,2.688
4,0.752
5,4.988
3,4.88
3,4.848
5,4.39919999999999
5,4.904
4,4.636
3,4.112
4,4.538
5,4.8
9,3.642
6,3.306
7,4.716
1,4.526
2,4.198
5,4.682
4,4.61
9,4.86859999999999
5,4.134
4,4.784
6,4.906
2,4.612
6,4.414
5,4.974
8,4.614
6,4.048
3,4.686
4,4.608
6,4.688
11,4.898
6,4.316
4,4.576
5,2.458
4,4.436
3,5.28
7,5.128
7,5.304
6,5.23
4,0.002
3,4.278
5,4.06
4,4.696
9,4.892
5,4.01
2,4.64
8,4.972
5,4.732
8,4.328
4,4.038
7,4.948
7,5.086
1,4.22
3,4.882
5,4.24
4,4.33079999999998
6,4.904
1,4.186
7,4.876
9,2.458
7,3.032
6,4.9
3,4.794
3,3.854
3,4.626
7,4.688
9,4.636
9,4.178
2,4.138
3,4.872
8,5.128
7,4.752
4,4.516
7,4.922
6,4.662
8,3.876
6,4.046
8,0.694
3,4.67
5,4.238
5,4.86
5,4.672
6,3.418
5,4.298
6,4.65979999999997
4,0.828
7,4.588
2,4.158
5,4.872
3,1.382
6,2.532
4,4.13819999999996
5,2.776
5,4.88
5,4.75
2,4.578
2,3.554
2,4.914
3,4.158
3,4.298
8,4.582
7,5.012
8,4.92
4,4.98
6,4.77139999999998
4,4.05539999999996
5,0.796
0,4.868
5,4.556
8,4.698
4,4.626
5,4.086
4,4.122
8,4.102
8,4.172
8,0.92
7,4.522
3,4.842
2,4.628
5,4.134
7,2.824
5,4.11299999999996
7,4.684
7,4.69
3,4.9766
5,4.988
6,4.72
6,4.32179999999998
9,3.186
2,4.476
8,4.752
3,2.786
5,4.642
5,4.874
7,4.962
6,5.05
5,4.27319999999998
4,4.048
8,4.86
0,4.082
5,4.986
5,4.858
5,4.392
6,4.14
5,4.25
5,3.01
4,4.23
6,3.592
6,4.998
5,4.818
4,4.228
4,0.03
4,4.51
5,4.786
3,4.75699999999998
3,4.896
2,4.564
9,4.572
7,1.404
5,4.988
4,4.012
6,4.766
7,4.726
6,3.702
4,4.494
3,4.004
8,4.636
4,4.872
3,1.604
7,4.816
4,3.64
6,4.61
4,3.058
6,4.016
2,3.258
8,4.4604
7,4.88
7,3.886
6,4.054
7,4.974
9,4.962
3,4.85
5,4.584
9,4.31
8,4.138
5,1.586
4,2.554
3,4.346
5,2.676
6,4.898
4,4.106
5,5.16
5,4.258
5,4.554
4,5.378
10,4.596
6,4.63
6,4.532
5,4.68
2,3.042
4,4.276
7,4.534
4,4.68499999999997
5,4.758
7,4.9478
6,0.824
7,4.596
5,4.748
7,1.526
6,4.982
9,3.84159999999998
7,4.218
10,4.28219999999998
2,4.148
2,1.842
6,1.488
6,4.764
5,3.518
4,4.862
5,4.59
4,4.7
4,4.888
4,4.538
4,4.372
7,4.698
6,4.868
4,4.25159999999997
4,4.764
9,4.686
4,4.668
5,3.606
3,4.476
5,4.624
6,4.876
4,4.628
7,4.118
3,4.4676
5,5.016
2,4.786
3,1.364
2,4.772
7,2.32
4,1.308
6,4.73
3,4.51
10,4.49
10,4.56
5,4.728
4,3.45
7,4.962
6,4.254
9,4.05
4,4.314
2,4.2
6,4.524
7,4.722
5,4.572
1,4.518
7,4.598
8,4.952
4,4.308
7,4.748
8,4.636
5,4.752
3,3.582
7,2.696
8,4.094
3,4.518
13,1.402
4,4.682
3,4.73
7,3.826
9,1.408
3,4.514
3,4.182
12,4.59
4,4.816
5,4.662
4,4.826
7,4.04
6,4.07
6,4.74
3,4.886
5,4.976
4,4.088
4,5.432
4,5.172
7,5.322
3,4.578
10,4.992
8,4.491
1,4.968
3,4.258
3,3.508
3,4.502
7,2.996
6,4.538
11,1.328
7,4.68
3,4.08599999999996
5,4.246
4,2.7
6,4.056
5,4.18859999999997
4,4.256
6,4.248
7,4.842
5,4.42
8,4.976
6,4.9928
6,3.654
4,4.80559999999998
4,4.236
7,4.992
4,4.852
5,5.088
5,4.174
4,4.652
5,4.746
5,4.766
4,4.4928
7,4.04
7,2.626
4,4.642
5,4.714
7,4.806
4,5.15
9,4.628
3,0.022
6,4.782
6,4.62919999999996
7,4.738
4,4.314
2,4.69759999999997
2,4.502
