"pb","quant_boot"
4,0
1,0.004
2,3.274
1,0.002
1,0.03
3,3.616
0,0
1,0.026
0,0
2,0
2,0.014
4,0.004
1,0
5,0.014
1,0.002
2,0
1,0
0,0
1,0
1,2.912
3,0
1,0.01
4,0
1,0
2,0
3,0.004
7,0
4,0
3,0.016
2,0
4,0.048
1,0.008
1,0.78
1,0.016
3,0
4,2.914
1,0
1,2.718
1,0.002
3,0
5,0.002
2,2.032
3,0
1,1.636
3,0.002
2,0
1,0
1,0
2,0
1,0
3,0
1,1.678
2,0.908
2,0
3,0.044
3,0
2,0.864
0,0
1,0
1,0
2,0
9,0
5,0.02
0,0
0,0.9
2,0
4,0
4,0.002
2,0.836
1,2.594
1,0
5,0
3,0.91
4,0
0,0
2,0
2,0
4,0
4,0
2,4.03
1,0
0,0.01
2,0
5,1.294
4,0
2,0
4,0.034
2,0
4,0
5,0.014
4,0
4,2.06
1,0
2,0.022
1,0
0,0
1,0
2,0
1,0
3,0
3,4.186
2,2.61
4,4.016
3,3.166
4,0.741999999999954
3,2.158
0,0.868
8,0
3,0
1,0
2,0.002
3,0
3,1.696
2,0.01
2,0.032
2,0
2,0.006
4,0
0,0
4,0
5,0
3,0
1,0
3,0
3,0.01
2,0
2,0.02
2,0.004
4,0
0,0
2,0
2,0
2,0
2,0
3,0.008
3,0.004
1,0.014
0,0
0,0.028
2,0.002
4,0
1,0
0,0
1,0
2,0.004
1,0
1,0.024
2,0
2,0
3,0
0,0
1,0.01
1,0.03
1,0
0,0
2,0
0,0
3,3.676
3,0.002
2,0
2,0
5,0
4,0.016
6,0
2,0
0,0
1,0.002
1,0.006
3,0.01
4,0
3,0
2,0
2,0
1,0
3,0.012
3,0
2,0
5,0
1,0
0,0
3,0
3,0.002
2,0.876
2,0
4,2.37
2,0.012
5,0
5,0
4,0
1,0
3,0.002
5,0.014
3,0.016
7,0
2,0
3,0
4,0
4,2.236
1,0
1,0.004
1,0.006
2,0
4,0.034
1,0.006
2,0.004
3,0
3,1.502
1,0.016
1,0
3,0
6,0
3,0
0,0
1,0
2,1.404
1,0
2,0
2,0
1,0
5,1.612
4,0
2,4.306
5,0
2,0
1,0
2,0
0,0
1,0
2,0.008
2,0
3,0
0,0.008
3,0
3,0
0,0
1,0.002
0,0.036
4,0.002
2,0
4,0
0,0
2,0
1,0.006
1,0
0,0
0,0
6,2.118
0,0
5,0.004
4,0
2,0
7,0.008
3,0
0,0
2,0.922
3,0
1,1.678
3,0
5,0.014
1,0
5,0
1,1.95
1,0.002
2,0
0,0
2,0
2,3.438
4,0.02
1,0
0,0
1,0
0,0
1,0.006
0,0
4,0.938
0,0.012
2,0.006
1,0
3,1.586
5,0.004
1,0
2,0
1,2.816
0,0
2,0
2,0.012
1,0
3,0.008
0,0.014
0,0.002
2,0
1,0
2,0
2,1.986
3,2.876
2,0
1,0.936
2,0.002
3,0.9
2,0
2,0
2,0
3,0
3,0
1,0
4,0
2,0
1,2.282
0,0
1,0
0,0
2,3.066
2,0
0,2.414
2,0.004
0,0
3,0.008
2,0
2,3.502
4,0
2,0
1,0.042
2,0
3,0.018
1,0
4,0
1,0
8,0.76
3,0.008
3,0
3,0.002
2,0
3,0
0,0
3,0
0,0
5,0.002
2,0
1,0
0,0
3,0
1,0
3,0.002
5,0
5,0
6,0
3,0
0,0
2,0
2,0
1,0.004
2,0
5,0
1,0
1,0
2,0
4,0.044
1,0
2,0.002
0,2.86
1,0
1,0.876
1,0.004
0,0
1,0.032
0,0.004
2,0
1,0
2,0
7,0
7,0
4,0
0,0.024
4,0.002
3,0.016
2,0
3,0.928
1,0.816
5,0
4,0
3,0
1,0
3,0
3,2.728
4,0.004
1,0
4,0
0,0
5,0
3,0
5,0.002
6,0.004
2,0
7,0
1,0
2,0
2,0
1,1.824
1,0.766
1,0
4,0
1,0
3,0
2,0.004
2,0
5,0
1,0.928
1,0
2,0.924
2,0
2,2.966
2,0
4,0.046
1,1.57
3,0.01
0,0
1,0
3,0
0,0
0,0
5,0
0,0.702
1,0
1,0
0,0
1,0
3,0.042
4,0
3,0
0,0
0,0.944
1,0.002
2,0
2,0
1,0
1,0
3,0
1,0.002
2,1.612
4,0
5,0
3,0
3,0
2,0.008
5,0
0,1.34
2,0.004
4,0
3,0.816
0,0.86
3,0
3,0
0,0.004
2,0
1,0.04
2,0
4,0
1,0.02
2,0
3,0
2,0
0,0
2,0
0,3.694
2,0
3,0
1,0
4,0
0,0.008
0,0
3,0.916
0,0.01
0,0.002
2,0
3,0
4,0
5,0
3,0
0,0
2,0.014
2,0
3,0
1,0
1,0.002
2,0
0,0
0,0
1,0.002
1,0
0,0.802
0,0.002
1,0.004
0,1.482
4,3.212
4,0
2,0
3,3.222
2,0.004
6,0
3,0.002
2,1.572
0,0.018
3,0
5,0.042
2,0.002
1,0.046
0,0
3,0.896
2,0
6,0.04
2,0
3,0
2,0
4,0.002
0,0
3,0
2,0
1,2.806
0,0
2,0
3,0.018
2,0
2,0.012
0,0
1,0
3,0
5,0.896
1,4.39
2,0
0,0
1,0.024
3,0
2,0
1,0
1,0
5,0
5,0
2,0
2,0.006
4,0.002
1,0.002
1,0
2,2.144
1,0
2,0
1,0
2,2.116
2,4.408
3,0
1,0.034
0,0.002
0,0.018
8,0
2,0.7
3,0.922
2,0.012
1,0.002
4,0.004
3,0
2,0
3,0
1,0.004
1,0
5,0
1,0
2,0
2,0
2,0.673999999999955
1,0.006
2,0
1,0.944
5,0.806
4,0.036
4,0
4,0.01
1,0
1,0
4,0.002
0,2.302
5,2.39
4,0
1,0.006
0,0
1,0.002
2,0
3,0
2,0
1,0.004
0,0
0,0
1,0
1,0
5,0
3,0
1,0
2,0
2,0.0949999999999591
1,0
2,0
3,0
3,0.01
1,0
2,0
3,0
0,0
1,0.03
2,0.004
1,0
0,3.144
2,0
2,0.002
2,0
1,0.002
1,0.002
5,0
3,0.01
3,0
2,0
2,0
0,0.902
1,0
2,0.034
1,0
3,0
1,0
0,0
