"pb","quant_boot"
5,5.324
12,5.64
7,5.726
6,5.094
9,5.4982
7,4.81999999999998
6,5.59
10,5.366
15,5.146
7,5.114
12,5.228
9,4.938
6,4.9
8,4.95
9,5.018
6,5.202
5,5.23
11,5.09
10,5.212
13,5.708
4,6.076
13,5.314
8,4.654
7,5.816
7,6.898
7,5.834
8,5.128
5,4.906
8,5.31
9,5.518
10,3.588
10,5.234
5,5.218
6,5.132
4,6.248
4,5.2
8,5.33
8,5.23359999999997
5,5.64
7,5.784
9,5.512
7,5.166
9,5.658
7,5.89
7,5.966
12,5.164
7,4.556
5,5.616
4,4.912
3,5.42259999999999
10,5.038
12,4.67059999999997
6,4.212
8,4.782
3,5.038
4,5.346
11,5.182
9,5.658
7,4.526
8,4.10399999999996
5,5.996
9,6.386
6,5.624
3,5.072
6,5.134
5,5.372
6,4.37
6,5.218
3,5.956
12,5.99
1,5.042
5,5.158
9,4.626
6,4.784
4,5.55
5,5.452
10,5.618
8,5.732
8,6.486
6,5.996
9,6.016
5,5.394
13,5.122
8,5.42
8,5.29659999999998
12,5.614
11,5.04
8,6.458
9,5.21379999999997
8,5.486
11,5.026
7,5.302
6,4.594
8,6.156
14,4.84879999999998
9,5.124
11,5.15
6,5.994
9,5.15079999999996
8,5.632
6,5.322
8,4.572
5,5.232
9,5.398
5,5.46
8,5.742
9,5.938
11,5.32
8,4.584
8,4.308
5,5.878
11,5.864
8,5.362
9,5.946
12,5.174
12,5.612
9,6.394
6,5.304
8,4.74799999999997
9,4.836
4,5.024
3,5.316
8,6.01
7,5.26
4,5.62
9,5.41899999999999
10,5.972
6,5.194
7,4.862
8,6.28
6,6.252
5,5.254
5,5.9
8,4.95
6,5.122
4,5.668
7,5.83079999999998
9,4.806
4,5.404
11,5.094
5,5.02
12,5.402
5,5.546
6,4.666
6,5.008
9,5.13
5,5.378
5,5.33979999999998
12,5.246
4,4.72
9,4.606
8,5.314
10,5.21
4,5.896
4,4.634
7,5.438
9,5.80379999999998
5,4.602
7,5.094
9,4.594
10,4.33619999999998
11,5.16
6,5.622
6,5.804
9,5.428
9,5.966
7,4.676
5,5.418
10,5.774
8,5.07
15,5.718
4,4.656
10,4.956
13,5.878
5,4.842
2,4.13
7,5.226
13,5.698
6,5.52
10,4.306
4,4.646
10,5.66
11,5.806
3,6.482
12,4.4
5,4.764
11,4.824
4,5.03
12,5.944
9,5.048
5,5.198
7,5.144
8,5.118
7,5.958
9,4.786
8,4.658
13,4.908
8,5.12739999999996
4,5.07
8,5.59
7,5.956
9,5.38
6,4.68
1,5.824
12,5.014
8,5.062
14,4.378
4,6.472
4,5.874
9,4.75
8,4.524
8,5.282
4,5.254
9,5.374
6,6.236
7,5.43699999999999
11,5.006
7,5.678
8,4.876
7,5.036
7,5.176
7,5.33979999999998
