"pb","quant_boot"
8,4.008
8,4.352
10,4.134
10,4.252
11,4.158
7,4.126
14,4.33
9,3.84159999999998
7,4.39
5,4.328
6,4.246
8,4.156
7,4.21
7,4.388
8,4.358
7,4.11
11,4.174
9,4.022
6,4.018
12,3.58239999999996
12,4.228
7,4.07
6,3.582
7,3.682
10,4.05
4,4.244
14,4.24
12,4.31
10,4.24
7,4.122
8,4.084
8,4.306
7,3.942
3,3.652
9,4.336
7,4.482
7,3.904
7,4.096
10,3.53
12,4.34
10,3.84699999999998
10,3.544
7,3.654
11,4.208
10,4.444
10,4.054
6,3.57
9,4.646
8,4.314
5,4.228
4,4.252
10,4.182
4,3.942
9,3.64
10,4.146
4,4.234
4,3.308
4,4.394
7,4.024
9,4.4
10,4.398
12,4.492
8,3.926
8,4.086
12,4.29299999999998
7,4.12
5,3.656
14,4.074
17,4.266
5,4.106
5,3.818
4,3.68
8,4.036
7,3.85
11,4.158
8,4.22999999999997
9,3.83
11,4.316
11,4.172
8,4.318
7,4.21
8,3.98
6,4.086
10,4.446
3,3.74
12,3.51
5,3.842
14,4.118
9,4.132
9,4.372
11,4.144
5,4.152
6,4.078
6,4.182
8,4.014
3,3.716
7,4.02
6,4.18
8,4.162
11,4.336
7,4.232
11,4.518
6,4.416
6,4.342
7,3.9694
11,3.684
6,4.468
7,4.234
7,4.144
8,3.67
12,4.296
11,3.802
10,4.172
8,4.098
6,3.746
7,3.696
9,4.134
6,4.356
12,4.074
9,4.092
4,4.02
6,3.62
9,4.136
11,4.454
11,4.684
7,4.358
7,4.266
9,3.996
11,4.054
12,4.476
8,4.24
1,3.676
11,4.464
7,4.338
12,4.28
11,3.806
4,4.32
10,4.326
6,3.726
9,3.66159999999997
11,4.222
11,4.21919999999997
13,4.018
7,3.522
13,4.174
9,3.548
8,4.156
5,3.69399999999997
6,4.014
9,4.95
8,4.07
6,3.554
8,4.262
5,4.13
10,4.23
8,4.046
8,4.138
3,3.676
4,3.848
12,3.558
9,4.474
8,3.66159999999997
8,4.294
9,4.012
6,4.158
8,4.388
10,4.166
8,3.708
9,4.238
8,4.202
4,3.612
10,4.044
4,3.546
10,4.664
3,3.97
11,4.232
10,3.616
13,4.502
5,3.556
6,3.856
14,4.024
7,4.426
12,4.114
6,4.184
14,4.174
7,4.016
5,3.544
2,3.5
2,4.476
6,4.008
9,4.14
15,3.68499999999997
12,4.402
5,4.16
8,4.26
10,4.524
9,4.254
12,4.082
6,4.172
7,4.03
7,4.376
6,3.946
14,4.172
7,4.34879999999998
9,4.272
7,3.638
6,4.126
4,3.634
11,4.266
8,4.454
9,4.016
9,4.364
5,4.304
7,3.624
9,4.324
10,4.166
9,4.202
9,4.074
11,4.418
8,4.262
10,4.088
6,4.162
12,4.36
6,3.55
8,4.372
8,3.74
6,4.482
11,4.12
7,3.856
13,4.3
7,4.162
4,3.832
8,4.196
10,4.612
6,4.906
7,3.596
7,4.652
8,4.35779999999999
10,3.616
6,3.522
11,4.242
8,4.148
9,4.008
5,4.178
8,4.424
11,4.288
12,3.786
10,4.226
5,4.312
9,4.16
8,4.18
6,4.002
8,3.916
8,4.182
12,4.16
13,4.212
14,4.422
8,4.176
7,4.348
6,4.444
10,4.188
5,3.674
9,4.238
8,3.55
9,4.29659999999998
6,4.314
7,4.238
11,4.214
6,4.026
12,3.81099999999998
6,4.032
4,4.202
10,4.33
6,4.096
8,4.408
6,4.45
10,4.38
7,4.294
5,4.094
5,3.564
6,4.016
5,4.206
11,4.486
7,3.678
12,4.016
6,4.114
13,4.916
12,4.184
10,4.368
7,3.56439999999996
4,3.636
11,3.544
9,4.132
6,3.664
11,4.046
7,4.378
3,4.358
10,4.424
7,4.366
10,3.986
7,3.806
9,4.074
6,4.27
13,3.838
3,4.082
12,4.072
8,4.6
7,4.004
9,4.02
8,4.22
8,3.926
12,3.598
7,4.438
7,4.07
6,3.5
10,3.598
9,3.044
7,4.444
3,4.338
7,3.636
10,4.118
9,4.226
10,3.978
10,3.662
14,4.102
5,3.836
12,3.862
5,4.174
8,4.132
7,3.73
10,4.732
10,3.982
7,4.092
6,4.18
12,4.092
6,4.19
6,4.204
11,4.094
6,4.216
6,3.592
10,3.96
6,3.582
7,3.74979999999997
9,4.184
6,4.498
11,4.342
12,4.482
6,4.396
9,3.768
9,3.528
10,4.3
6,4.374
12,3.91719999999999
7,3.822
7,3.71019999999997
6,4.096
8,4.3
8,3.732
8,3.84159999999998
8,4.072
9,4.206
7,4.37579999999999
9,3.502
6,4.76
4,4.052
10,4.048
6,3.536
5,4.078
13,4.656
8,3.57339999999996
6,3.618
13,4.122
4,4.102
6,3.704
9,4.032
5,4.25
8,3.562
6,4.192
9,3.696
6,4.442
9,3.73
11,4.16
7,3.964
9,3.524
8,4.068
6,3.668
12,4.548
8,4.314
7,3.578
8,4.262
6,4.334
7,3.624
9,3.57
7,4.136
10,4.71
15,4.102
15,4.34159999999998
5,3.764
10,4.288
6,3.674
10,4.648
10,3.81
6,4.01
10,4.014
8,3.778
7,3.878
8,4.636
