"pb","quant_boot"
4,1.682
8,4.18
5,1.53
6,0.004
4,0.022
2,0.856
16,0
2,0.002
5,0.008
3,0.036
4,0
4,0
8,0.9
6,0.002
8,0.01
6,4.268
4,0.77
6,0.904
8,0
6,0.892
3,0.032
4,0
12,0.02
6,0
7,3.198
7,0
2,0.004
7,0
9,0.83
2,0.716
6,0.002
6,0
6,0.71
10,1.536
11,0
2,0.012
8,2.71
2,0
2,0
5,0.008
3,0.012
7,0.002
5,0.01
1,0.014
3,0.004
3,0
4,0
9,0.018
5,0
8,0
7,0
3,0.002
6,0
5,1.484
5,0
8,0.902
4,0.026
2,1.652
5,2.156
5,0
4,0.042
4,3.424
5,0
3,0.902
4,0.802
5,0.048
5,1.646
3,0.764
11,0.03
8,0
8,0
8,0.036
6,1.494
3,0.834
12,0.912
8,0.906
9,0.928
6,0.028
6,0.94
8,0.046
11,0.038
6,0.008
2,2.386
4,2.012
7,0
2,1.558
3,0.002
5,0.036
7,0.816
11,0
4,1.824
4,0
6,0
0,0
6,0.004
4,0
3,0.926
8,0
9,0.826
12,1.502
2,0.002
10,1.562
8,0.042
0,0.01
13,0.736
5,0.868
5,0.032
2,0.856
3,3.662
8,3.06
6,0
8,0
7,0.802
4,0
7,0.008
5,0.004
3,0.721999999999954
6,0.868
8,0.002
5,0.022
4,0
7,0
7,0.01
8,0.008
4,2.148
6,0
3,0.022
2,0
1,0.778
5,0.002
5,1.476
5,2.942
6,2.846
10,1.36
7,0
6,2.244
3,0.886
10,0.008
6,1.738
7,0.942
9,0.946
5,0
8,0.746
6,0.036
7,0.886
2,0.002
1,0.904
7,0.008
9,0.002
3,0.004
6,0
3,0
3,1.53
6,0
5,0
6,0.002
8,0.028
3,0.038
2,0.002
4,1.546
4,1.468
7,0.014
9,0.93
5,0.04
6,0.02
4,0.01
2,0.734
5,0
6,0.004
5,0.04
6,0
4,0.044
5,0
5,0.906
3,0.916
4,2.018
4,2.664
3,0.85
5,0
10,0.046
9,0
4,1.54
6,0
1,0.008
6,1.332
10,0
5,0
4,0.006
3,0.002
10,0
7,0.002
8,0.006
0,0.934
10,0.026
7,0.938
9,2.99799999999995
13,0.002
4,0.042
3,0
4,0.002
5,0.766
3,0.878
5,3.856
7,0
11,0.014
3,0.94
2,0.002
4,0
8,0
3,0
5,0.05
8,0
7,0.004
5,0.01
5,0
4,0.786
5,0
4,1.684
7,0.008
4,0
3,0.032
9,0.038
1,0.002
1,0.734
10,2.202
5,0.778
2,2.094
9,0.01
13,0
9,0
1,0.044
7,2.956
7,0.002
2,0
5,0
7,0
5,0
4,1.612
6,0.85
6,0.016
5,0.02
9,0.002
8,2.508
3,2.492
5,0
8,0
4,0.812
8,0.01
5,0.924
8,0.01
10,0.028
4,0.034
8,0
6,0.0967999999999593
5,0
3,0.76
11,1.306
10,0.878
5,3.27
10,1.272
4,0.024
5,0.022
3,0.944
11,2.058
7,0.006
1,3.526
5,0.014
4,0.002
8,0.008
4,2.144
2,0.02
3,0.878
8,0.002
5,1.304
4,0.812
6,0.004
8,4.05
6,0
12,1.684
1,0
4,0.938
6,0.032
8,0.04
3,0
5,0.024
3,0
4,0.012
6,0.002
5,0.002
5,0.876
7,0.04
1,1.334
5,0.002
7,0.054
8,0.044
7,2.172
5,0.684
5,0.942
1,0.77
7,0.006
8,0
0,0
10,0
6,0.81
8,0
6,0
2,0.004
4,3.784
8,0.006
4,0.028
8,0.892
2,0.822
1,0.928
6,4.526
1,0.002
5,0
4,4.156
5,0.762
9,0.86
8,4.626
6,0.002
3,0
13,0.022
9,0.78
6,1.956
1,1.54
2,1.64
7,0
3,0.86
3,0.816
11,0.69
2,1.552
2,0.018
3,0
10,0.936
2,0.786
7,0.032
15,0
8,0
8,0
7,0
5,1.464
5,0.016
3,1.594
7,0.002
8,0
5,0.876
3,0
5,0.04
9,0.906
7,0.008
4,0.024
6,0
5,0.786
8,0.906
2,0.878
5,0
10,0.878
4,0.808
4,5.108
5,0.908
5,0.008
2,2.848
6,0.006
6,0.004
9,0.0985999999999594
9,1.396
7,0.012
10,0.758
0,0
3,0
5,1.634
6,2.798
5,4.298
4,0.634
5,0.004
3,0.004
8,0.002
6,0
8,0.006
9,0
6,0
4,0.016
5,3.158
5,0.01
5,0
4,0
4,0.008
7,0.048
8,2.01
4,0.01
4,0
4,0
7,1.514
3,2.594
8,0.778
2,0.838
13,0.016
7,0
8,0.004
7,0.022
5,0
1,0
6,0.002
4,0
6,0.016
6,0
4,0
4,0
4,2.614
5,0
8,0
8,0
2,0.018
7,1.474
6,1.578
4,0
8,0
6,0.932
10,0
3,1.64
1,0.004
1,1.622
7,0
5,0.022
6,0.008
2,0.004
6,0
10,0.944
7,0.85
3,0
7,0.02
3,0
5,3.236
3,0.782
5,0.904
5,0.006
10,3.246
5,0
5,0.94
7,0.008
4,1.568
3,0
8,0
4,0.006
4,1.266
2,0
4,0
11,0.002
3,1.36199999999995
5,0
7,1.338
5,2.806
3,0.744
6,0.014
2,0
2,0.002
5,2.586
3,0.012
7,0
1,0
8,0.016
5,0
8,0
5,0
7,1.89399999999995
5,0.044
9,0
5,1.614
4,0.014
2,0.932
2,0.768
2,0
6,0
1,0
4,4.742
5,2.19
3,0.002
3,1.694
9,0.002
4,1.472
11,0.008
3,0.0949999999999591
4,0.004
4,0.008
5,0.012
6,2.52
4,0.852
7,0.048
8,2.282
11,2.494
4,0.012
4,0.864
7,0.032
3,0.034
6,0
5,0.836
5,2.232
3,1.992
5,0
7,0.01
6,0
5,0.028
3,0.946
7,0.756
5,0.018
8,0.022
7,0.028
3,3.674
7,2.05
8,0.018
6,0.048
6,2.024
3,2.698
3,0.716
2,0
7,0.904
9,2.052
9,0.024
9,0.904
8,0.872
2,0
5,0
4,0.052
3,0
2,0.03
