"pb","quant_boot"
2,2.714
0,2.252
0,1.522
2,2.028
3,1.272
1,1.914
1,1.33
1,2.03
0,2.11
0,1.824
1,1.332
1,1.922
1,1.532
3,2.052
4,1.374
0,2.202
2,1.5
0,2.102
0,2.176
0,1.566
1,1.296
1,1.406
2,1.35
0,2.228
1,1.552
1,2.604
2,2
2,1.278
2,2.352
1,1.98
2,2.424
3,1.368
1,1.348
1,2.03
0,1.888
0,1.468
0,1.354
1,1.424
0,1.384
2,2.262
3,2.188
1,1.938
0,2.27
0,2.08
2,1.49
2,1.466
1,1.326
0,1.28
1,1.536
1,1.246
1,2.12
1,2.08
1,1.32599999999995
0,1.466
0,1.44
1,1.308
0,2.23
0,2.71
1,1.956
2,1.482
3,1.284
1,1.966
0,2.23
0,2.162
2,1.426
2,1.95
2,2.194
2,2.018
1,2.072
2,1.614
1,1.306
2,1.968
3,1.888
4,1.428
0,2.174
1,1.298
1,1.908
3,2.036
2,1.428
2,2.062
0,1.282
3,2.168
5,1.236
2,2.674
2,1.27
0,1.486
1,1.406
1,1.452
0,1.306
1,1.808
4,2.156
0,2.13
0,1.352
2,2.07
0,1.282
5,2.14
2,2.092
1,2.054
3,1.288
0,1.598
1,2
2,2.194
3,2.174
0,1.546
1,1.588
1,1.672
2,1.358
3,2.122
0,1.536
0,1.79
0,1.558
0,2.132
2,1.214
2,1.574
1,1.984
3,2.096
2,1.31399999999995
1,2.046
1,1.868
0,1.622
1,1.932
1,1.418
1,1.378
0,1.524
0,2.878
1,2.456
1,1.296
0,1.888
2,2.21
2,1.398
1,2.148
3,2.192
1,2.624
3,2.224
1,2.168
0,2.114
0,1.386
1,2.302
1,1.336
1,2.046
2,2.196
1,1.36
0,1.406
1,1.338
1,1.14
3,1.37
1,2.608
3,2.226
5,1.398
2,2.148
2,1.488
0,1.85
1,2.246
2,1.32
2,2.256
1,2
2,1.316
1,1.356
0,1.408
0,1.484
3,2.26
1,1.894
2,2.17
2,2.124
1,2.802
2,1.854
0,2.176
0,2.246
1,1.464
1,2.178
0,1.514
1,1.33
1,1.316
1,1.416
0,1.684
1,1.262
2,2.684
1,2.134
3,2.018
0,1.47
0,2.048
3,2.064
0,1.45
0,1.968
0,1.328
1,2.046
2,2.166
