"pb","quant_boot"
6,3.144
5,4.126
1,4.086
3,4.372
8,4.224
4,3.806
5,4.828
1,4.358
7,3.61
3,4.342
1,3.872
7,4.284
5,4.164
3,3.766
4,4.4478
4,4.374
3,3.65
2,3.828
4,4.302
4,4.274
1,4.17599999999997
5,3.694
4,4.182
5,3.738
4,4.4
4,3.638
2,4.194
8,3.63
8,3.984
2,4.332
2,3.468
8,3.636
5,3.618
3,4.732
5,3.53
3,4.098
3,4.024
1,4.248
6,4.274
2,4.486
4,3.984
4,4.258
3,3.734
6,4.076
5,4.492
4,3.806
6,3.686
3,4.076
2,3.91179999999999
2,4.122
5,4.492
8,3.608
4,4.274
4,3.51
4,3.852
2,4.07
3,3.736
5,3.774
2,4.564
5,3.838
2,4.86
3,3.666
2,4.194
3,3.94
3,3.786
7,4.316
3,4.128
3,4.618
3,3.024
7,4.278
5,4.31279999999998
2,4.476
4,4.272
3,3.812
5,4.196
3,4.574
6,4.066
3,3.85239999999998
2,3.762
5,4.106
3,3.664
1,3.61
2,3.76059999999998
5,3.898
5,4.134
5,4.21
3,4.252
3,3.702
6,4.366
2,4.492
5,4.082
2,3.7
0,3.914
3,3.70839999999997
3,4.398
6,4.318
9,4.448
1,4.406
1,3.72
7,4.844
4,4.052
5,3.85
2,3.572
8,4.17
5,3.9532
1,3.9838
3,4.222
5,4.108
9,4.602
4,4.514
3,3.898
5,4.614
7,3.534
4,4.108
4,3.808
7,4.042
3,3.718
6,4.43
8,4.344
3,3.74439999999997
5,3.9514
2,3.998
6,3.54
7,3.872
4,3.956
3,4.696
4,4.348
3,3.384
2,3.504
2,4.494
2,4.274
6,4.176
2,5.274
4,3.832
3,3.722
4,4.494
3,3.92079999999999
5,4.022
7,4.234
2,4.37
5,3.272
1,3.85
7,4.12
1,4.486
3,3.77
1,4.17
8,4.324
4,3.792
4,4.018
4,4.152
3,3.616
7,3.508
5,3.536
6,4.174
1,3.56259999999996
4,4.99
5,4.38659999999999
9,3.886
3,3.92
5,3.88
4,4.48
6,4.396
5,3.54999999999995
0,4.44
1,4.424
9,3.712
8,4.042
5,4.43
9,3.008
3,4.306
5,4.416
3,3.584
4,4.28
4,3.23
2,4.304
7,3.65
5,3.9748
1,3.644
5,4.334
3,4.08
1,4.442
6,4.172
0,3.552
5,3.248
6,4.398
2,4.056
2,4.442
4,4.184
4,4.532
6,4.53
6,3.604
4,3.588
4,4.088
5,4.138
4,4.192
2,3.542
4,4.43
2,4.476
1,3.598
3,3.78399999999998
3,4.478
0,3.688
3,4.47
4,3.772
3,4.646
6,3.834
0,3.932
4,3.93
6,3.648
1,3.11299999999996
3,4.02
6,4.142
4,4.042
4,3.9928
4,4.21
9,3.604
5,3.566
6,3.67
5,4.27319999999998
1,4.41
2,3.276
1,3.81
2,4.444
4,4.286
2,4.4568
5,4.064
6,3.528
5,3.696
4,3.984
2,3.108
2,3.894
2,3.734
5,4.142
4,4.062
2,3.65
7,4.016
5,4.612
4,4.34
10,4.214
8,3.542
8,4.41
1,4.29
2,3.77679999999998
7,4.012
8,3.592
5,3.566
6,3.11
5,4.26
5,3.686
6,4.234
2,4.106
6,3.582
3,3.598
4,4.006
10,3.672
2,3.55
3,4.19
5,3.698
2,3.766
0,4.29
6,4.494
4,3.616
3,3.75339999999998
1,4.28
1,4.5
1,4.084
7,4.076
6,3.58
2,4.17599999999997
3,3.844
3,4.138
7,4.098
6,4.086
4,3.782
4,3.588
6,4.866
4,4.148
2,3.89739999999999
6,4.066
5,4.928
0,3.504
7,4.73
6,4.044
7,4.966
2,4.776
1,4.386
4,3.66
2,4.458
3,4.778
3,3.684
3,3.96
3,2.62199999999995
4,3.956
4,4.41179999999999
2,3.5
5,4.516
0,3.654
5,3.524
4,4.04
8,4.012
3,3.118
5,4.08
4,3.806
3,4.13
5,3.514
2,3.652
2,3.94
3,4.052
3,3.256
2,4.322
3,4.2
4,3.81
4,3.762
1,4.028
4,4.006
4,3.544
0,4.11
3,3.842
3,3.956
4,4.302
8,4.16
3,4.238
5,3.7
1,3.84339999999998
4,4.966
5,3.212
2,3.882
7,3.73
9,3.88839999999999
7,4.77
8,4.048
6,4.386
8,4.412
9,3.67959999999997
3,3.54
6,3.864
3,3.892
7,4.988
4,3.222
5,3.602
4,4.1
0,3.696
2,3.792
2,4.252
7,3.55
1,4.362
2,4.238
1,4.114
1,4.02
6,3.462
2,4.252
1,4.038
4,3.558
6,3.808
7,4.562
4,3.186
8,3.686
3,4.598
8,3.106
6,3.688
5,4.558
0,4.968
9,3.918
5,4.24
2,3.624
4,3.768
5,4.208
3,4.266
4,3.722
2,3.58239999999996
8,3.706
3,4.244
2,3.556
2,3.706
9,4.164
5,4.696
1,3.762
2,3.94059999999999
7,4.18
9,4.168
1,4.296
7,3.552
5,4.16
5,4.682
1,3.896
5,4.256
2,5
4,4.034
7,4.012
4,3.908
4,3.564
1,3.32
7,4.4
4,4.124
6,4.20299999999997
4,3.784
6,4.354
8,4.064
3,4.288
6,4.016
4,4.19
8,4.228
5,3.71019999999997
4,3.998
8,3.60219999999996
3,3.9802
7,3.694
4,4.706
3,3.994
4,4.16
4,3.568
7,3.608
2,3.748
5,4.784
0,3.652
3,3.638
2,4.442
5,4.402
3,3.806
6,3.77
3,4.272
4,4.028
5,4.27
2,3.574
7,4.046
2,4.408
7,3.928
5,3.518
8,4.412
6,4.1
8,3.82
0,4.112
9,3.07159999999996
4,4.394
6,4.05
3,4.296
3,4.798
4,3.286
6,3.614
6,3.654
3,4.446
5,4.516
4,3.632
1,3.588
7,4.546
11,3.742
4,3.89
4,4.022
5,3.602
0,3.758
3,3.546
1,4.352
3,3.56
0,4.336
4,4.09
4,3.634
2,3.792
7,3.63
4,3.852
10,4.006
3,3.506
4,3.1
9,4.034
4,4.254
5,4.208
6,3.638
8,4.096
2,4.306
7,4.89
0,4.154
1,3.104
2,4.9694
2,4.086
7,4.13
5,3.648
6,4.81099999999998
6,4.662
3,3.724
5,3.678
7,3.614
5,4.142
6,3.554
5,4.096
7,4.404
2,4.296
4,3.512
3,3.55539999999996
5,3.582
1,4.536
5,4.116
3,3.79839999999998
5,3.896
3,3.9856
3,4.052
1,3.558
5,3.9712
6,4.024
4,4.322
3,4.136
4,3.79
5,4.286
3,4.538
4,4.14
3,4.21
5,4.114
7,3.982
5,4.31819999999998
2,4.034
2,3.636
1,4.48
4,4.012
5,4.476
5,4.106
3,4.118
3,4.186
2,4.106
2,4.074
9,4.138
0,4.53
6,4.418
4,4.31
3,5
5,3.788
4,4.506
5,4.354
2,3.98
5,3.808
1,3.928
5,4.564
1,3.80379999999998
5,4.246
5,3.736
5,3.636
4,4.38659999999999
6,3.564
3,3.778
4,3.63
7,4.234
9,4.12
7,4.298
3,3.884
0,3.754
3,4.274
6,3.89739999999999
3,4.216
10,3.23
3,4.10399999999996
7,4.076
2,4.194
7,3.712
3,3.53
7,4.26779999999998
8,3.742
3,4.014
3,3.818
7,4.468
3,4.36
3,3.87
2,3.706
6,3.776
2,3.692
3,4.054
2,3.572
0,3.72999999999997
3,3.856
3,4.028
2,4.354
5,4.34
2,4.458
8,4.63
5,4.128
4,3.998
6,4.144
9,3.662
5,4.24439999999997
9,4.294
0,3.972
5,4.244
4,4.484
3,4.31
2,3.546
0,3.854
2,4.13
5,4.572
8,4.222
1,4.16
2,3.99
2,4.024
4,3.974
4,4.338
4,3.712
1,4.05
6,4.314
2,3.688
4,3.58
5,4.06
3,4.536
2,3.762
2,3.68
7,4.04
2,4.102
5,4.455
2,4.422
4,4.222
8,4.36
6,4.412
5,4.42
10,4.508
5,3.586
5,3.82
3,4.02
0,4.268
0,3.988
4,3.93339999999999
1,3.558
1,4.218
3,4.522
2,3.236
5,3.772
10,4.186
1,3.642
5,4.532
2,3.94959999999999
11,3.83
6,4.448
6,4.476
4,3.946
4,3.77
4,3.528
8,4.262
5,4.15
5,4.282
13,4.048
5,4.266
2,3.7
7,4.548
5,4.868
1,3.704
6,4.462
3,4.476
3,4.286
5,3.59
0,3.808
2,4.066
3,4.058
3,4.406
5,4.31
3,3.636
4,4.42
3,4.082
3,4.054
6,4.67
6,4.506
3,3.90099999999999
4,3.536
3,4.086
2,3.816
