"pb","quant_boot"
3,0.902
1,1.706
0,0.8
3,0.796
2,0.832
3,0.898
1,0.818
1,0.788
3,0.926
1,0.708
2,0.788
0,0.81
0,1.638
0,0.77
1,1.596
2,0.888
1,0.836
2,0.775999999999955
3,0.802
2,0.798
0,0.758
0,0.738
1,0.756
1,0.89
0,0.808
2,0.816
1,1.718
3,0.773999999999955
2,0.854
2,0.854
0,1.704
6,0.824
0,0.752
1,0.904
2,0.886
4,0.914
1,0.918
4,0.848
2,0.854
1,0.806
1,0.82
0,1.7
2,0.872
1,1.634
2,0.798
1,1.704
2,0.82
2,0.872
1,0.78
1,1.604
4,0.894
2,0.882
1,0.846
0,1.618
0,0.818
0,1.676
5,0.75
1,0.7
1,0.858
3,0.786
1,0.78
3,0.8
1,1.634
0,1.66
1,0.872
3,0.786
0,0.798
0,0.818
0,0.808
1,0.878
0,0.822
1,0.764
5,0.862
0,0.79
2,0.802
1,0.898
3,1.634
0,1.692
0,0.932
5,0.784
1,0.76
1,0.874
0,0.802
2,0.796
1,0.746
0,0.874
1,0.738
0,0.774
0,0.86
4,0.912
3,1.648
3,0.752
3,0.892
4,0.8
1,0.796
0,0.874
0,1.668
1,0.806
0,0.765999999999954
0,0.702
0,0.728
1,0.756
0,0.87
2,0.876
1,1.604
4,0.82
0,0.794
1,0.748
1,0.904
2,0.734
2,0.854
0,0.81
3,0.838
2,0.744
1,0.732
2,0.776
1,0.754
1,0.826
0,0.774
0,0.81
1,0.77
1,0.758
0,0.81
5,0.804
0,1.706
0,0.74
0,0.868
2,0.784
1,0.788
3,0.828
3,0.802
1,1.622
2,0.836
1,0.848
0,0.902
4,0.838
2,0.758
0,0.7
1,0.83
3,0.828
1,1.716
1,0.838
5,0.764
3,0.814
0,0.734
2,0.746
3,0.898
6,0.778
3,0.886
4,0.824
2,0.862
0,1.586
2,0.732
0,0.898
2,0.822
2,0.84
5,0.904
0,0.878
0,1.722
0,0.772
1,0.744
2,0.716
3,0.728
1,0.754
1,0.88
0,0.732
1,0.728
1,1.628
0,0.778
