"dim","birth","death"
0,0,0.000836272805102896
0,0,0.0010341875960041
0,0,0.00139960724274336
0,0,0.00156459881013986
0,0,0.0018798567877048
0,0,0.00204546972877285
0,0,0.00212325875700175
0,0,0.0021526320142551
0,0,0.00215689472350402
0,0,0.00257190685491556
0,0,0.00257744072888501
0,0,0.00280204447475448
0,0,0.00283559240589131
0,0,0.00284709145840621
0,0,0.00293062322707996
0,0,0.00310076391761592
0,0,0.00328684926748528
0,0,0.00330146692905606
0,0,0.0033706826396666
0,0,0.00348375072735
0,0,0.00379904962260591
0,0,0.00401159153898716
0,0,0.00401473855792192
0,0,0.00420782076686669
0,0,0.0043889640288932
0,0,0.00442828865334289
0,0,0.004604249515099
0,0,0.00474367357790839
0,0,0.00477530474271227
0,0,0.00499566134645082
0,0,0.00507859773629899
0,0,0.00515523559238241
0,0,0.00519712402388251
0,0,0.00530166486526587
0,0,0.00545469926346422
0,0,0.00573314356072457
0,0,0.00588746405212546
0,0,0.0059873710689195
0,0,0.00609769504515464
0,0,0.00622985190331814
0,0,0.00631118965887406
0,0,0.00693808173646861
0,0,0.00701153174539958
0,0,0.00709033871051946
0,0,0.00713851035009977
0,0,0.00760365068228085
0,0,0.00760582101406451
0,0,0.00778265466100606
0,0,0.00823731482253688
0,0,0.00826055658701798
0,0,0.0091813615187341
0,0,0.00942488082742542
0,0,0.00949878624561827
0,0,0.00962967506088851
0,0,0.0102586656269243
0,0,0.0103958648065068
0,0,0.0106857996849412
0,0,0.0126043047756341
0,0,0.0132809493745304
0,0,0.0137014853912855
0,0,0.014184469498202
0,0,0.0148720774955126
0,0,0.0170757476818623
0,0,0.0180793655411044
0,0,0.0185052343881021
0,0,0.0192162524205759
0,0,0.0193034321292313
0,0,0.0195473242343009
0,0,0.0198568810018132
0,0,0.0206706731734108
0,0,0.0237612758759859
0,0,0.0246752227025799
0,0,0.0252107962946095
0,0,0.0254735945283727
0,0,0.0257128197457105
0,0,0.0263204161326383
0,0,0.0287103710550131
0,0,0.0298667258863772
0,0,0.0299276093303137
0,0,0.0300283846335338
0,0,0.0315672067581782
0,0,0.031625227594144
0,0,0.0340015470450378
0,0,0.0350947436895445
0,0,0.0354860240176738
0,0,0.0357844065564135
0,0,0.0359001465065209
0,0,0.0376736553695527
0,0,0.0377539696382641
0,0,0.0379154756116245
0,0,0.0389565458083464
0,0,0.0397933225694458
0,0,0.0398440186199237
